DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-484	O=C1NC2(/N=C\C3=CC=CC=C3)NC(=O)NC2(/N=C\C2=CC=CC=C2)N1	3a,6a-Bis[(phenylmethylidene)amino]-tetrahydroimidazo[4,5-d]imidazoline-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C18H16N6O2/c25-15-21-17(19-11-13-7-3-1-4-8-13)18(23-15,24-16(26)22-17)20-12-14-9-5-2-6-10-14/h1-12H,(H2,21,23,25)(H2,22,24,26)/b19-11-,20-12-	APHJIWBWCXJOHQ-YZLQMOBTSA-N	APHJIWBWCXJOHQ-YZLQMOBTSA-N	[H]N1C(=O)N([H])C2(\N=C/C3=CC=CC=C3)N([H])C(=O)N([H])C12\N=C/C1=CC=CC=C1	TRUE
UALIB-485	C=CCN1C(=O)N(CC=C)C2(/N=C\C3=CC=CC=C3)N(CC=C)C(=O)N(CC=C)C12/N=C\C1=CC=CC=C1	3a,6a-Bis[(phenylmethylidene)amino]-1,3,4,6-tetrakis(allyl)-tetrahydroimidazo[4,5-d]-imidazoline-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C30H32N6O2/c1-5-19-33-27(37)34(20-6-2)30(32-24-26-17-13-10-14-18-26)29(33,31-23-25-15-11-9-12-16-25)35(21-7-3)28(38)36(30)22-8-4/h5-18,23-24H,1-4,19-22H2/b31-23-,32-24-	IHYCRJDKTIQQRW-PUHRYQSPSA-N	IHYCRJDKTIQQRW-PUHRYQSPSA-N	C=CCN1C(=O)N(CC=C)C2(\N=C/C3=CC=CC=C3)N(CC=C)C(=O)N(CC=C)C12\N=C/C1=CC=CC=C1	TRUE
UALIB-486	O=C1N2CC=CCN3C(=O)N4CC=CCN1C4(/N=C\C1=CC=CC=C1)C23/N=C\C1=CC=CC=C1	3a,6a-Bis[(phenylmethylidene)amino]-1,6,8,13-tetraazatetracyclo[11.2.1.0 (6,15) .0 (8,14)]hexadeca-3,10-diene-7,16-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C26H24N6O2/c33-23-29-15-7-8-16-30-24(34)32-18-10-9-17-31(23)26(32,28-20-22-13-5-2-6-14-22)25(29,30)27-19-21-11-3-1-4-12-21/h1-14,19-20H,15-18H2/b27-19-,28-20-	LWITUFGJJQDJAR-RSSRHXQMSA-N	LWITUFGJJQDJAR-RSSRHXQMSA-N	O=C1N2CC=CCN3C(=O)N4CC=CCN1C4(\N=C/C1=CC=CC=C1)C23\N=C/C1=CC=CC=C1	TRUE
UALIB-487	NC12N3CC=CCN1C(=O)N1CC=CCN(C3=O)C12N	3a,6a-Diamino-1,6,8,13-tetraazatetracyclo[11.2.1.0 (6,15) .0 (8,14) ]hexadeca-3,10-diene-7,16-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C12H16N6O2/c13-11-12(14)17-7-3-4-8-18(12)10(20)16(11)6-2-1-5-15(11)9(17)19/h1-4H,5-8,13-14H2	VZOFOLBAAYSOCW-UHFFFAOYSA-N	VZOFOLBAAYSOCW-UHFFFAOYSA-N	NC12N3CC=CCN1C(=O)N1CC=CCN(C3=O)C21N	TRUE
UALIB-488	O=C1NC23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C23N1	1,6,8,13,15,17-Hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18) ]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C13H14N6O3/c20-9-14-12-13(15-9)18-7-3-4-8-19(13)11(22)17(12)6-2-1-5-16(12)10(18)21/h1-4H,5-8H2,(H2,14,15,20)	ONQZOXWLNKBFQP-UHFFFAOYSA-N	ONQZOXWLNKBFQP-UHFFFAOYSA-N	O=C1NC23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C32N1	TRUE
UALIB-489	O=C1N2CC=CCN3C(=O)N4CC=CCN1C41N(C(=O)CCl)C(=O)N(C(=O)CCl)C231	15,17-bis(2-chloroacetyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18)]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C17H16Cl2N6O5/c18-9-11(26)24-15(30)25(12(27)10-19)17-16(24)20-5-1-2-6-21(16)14(29)23(17)8-4-3-7-22(17)13(20)28/h1-4H,5-10H2	IMUJEQPZMQLUOQ-UHFFFAOYSA-N	IMUJEQPZMQLUOQ-UHFFFAOYSA-N	ClCC(=O)N1C(=O)N(C(=O)CCl)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C132	TRUE
UALIB-490	N#CCN1C(=O)N(CC#N)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C123	15,17-Bis(cyanomethyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18)]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C17H16N8O3/c18-5-11-24-15(28)25(12-6-19)17-16(24)20-7-1-2-8-21(16)14(27)23(17)10-4-3-9-22(17)13(20)26/h1-4H,7-12H2	VEHHHASTNCRQEZ-UHFFFAOYSA-N	VEHHHASTNCRQEZ-UHFFFAOYSA-N	O=C1N(CC#N)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C32N1CC#N	TRUE
UALIB-491	C=CCN1C(=O)N(CC=C)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C123	15,17-Bis(allyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18) ]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C19H22N6O3/c1-3-9-20-15(26)21(10-4-2)19-18(20)22-11-5-6-12-23(18)17(28)25(19)14-8-7-13-24(19)16(22)27/h3-8H,1-2,9-14H2	HSVKSULNKBVYJX-UHFFFAOYSA-N	HSVKSULNKBVYJX-UHFFFAOYSA-N	C=CCN1C(=O)N(CC=C)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C132	TRUE
UALIB-492	O=C1NC2NC(=O)NC2N1	Octahydroimidazo[4,5-d]imidazolidine-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C4H6N4O2/c9-3-5-1-2(7-3)8-4(10)6-1/h1-2H,(H2,5,7,9)(H2,6,8,10)	VPVSTMAPERLKKM-UHFFFAOYSA-N	VPVSTMAPERLKKM-UHFFFAOYSA-N	[H]N1C(=O)N([H])C2([H])N([H])C(=O)N([H])C12[H]	TRUE
UALIB-493	O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN1C1C2N2CN%11C(=O)N(CN%12C(=O)N(CN%13C(=O)N(CN%14C(=O)N(CN1C2=O)C%10C9%14)C8C7%13)C6C5%12)C4C3%11	Cucurbit[n]uril a	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	InChI=1S/C30H30N20O10/c51-21-31-1-32-12-14-36(22(32)52)4-40-16-18-44(26(40)56)8-48-20-19-47(29(48)59)7-43-17-15-39(25(43)55)3-35(21)13-11(31)33-2-34(12)24(54)38(14)6-42(16)28(58)46(18)10-50(20)30(60)49(19)9-45(17)27(57)41(15)5-37(13)23(33)53/h11-20H,1-10H2	VKSVEHYLRGITRK-UHFFFAOYSA-N	VKSVEHYLRGITRK-UHFFFAOYSA-N	O=C1N2CN3C4C5N(CN6C7C8N(CN9C%10C%11N(CN%12C%13C%14N(CN1C1C2N2CN4C(=O)N5CN7C(=O)N8CN%10C(=O)N%11CN%13C(=O)N%14CN1C2=O)C%12=O)C9=O)C6=O)C3=O	TRUE
