DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-967	COCC1=C(B2C3=CC=CC=C3C3=C2C=CC=C3)C(OC)=CC=C1	BMMP-BF	Cassidy, S.J. Electron-deficient heterofluorene conjugated polymers and small molecules. Ph.D. Thesis, The University of Alabama, 2018.	https://ir.ua.edu/handle/123456789/5352	InChI=1S/C21H19BO2/c1-23-14-15-8-7-13-20(24-2)21(15)22-18-11-5-3-9-16(18)17-10-4-6-12-19(17)22/h3-13H,14H2,1-2H3	CJWIYOZNUSWGKR-UHFFFAOYSA-N	CJWIYOZNUSWGKR-UHFFFAOYSA-N	COCC1=C(B2C3=CC=CC=C3C3=C2C=CC=C3)C(OC)=CC=C1	TRUE
UALIB-968	CC(C)(C)OCC1=C(B2C3=CC=CC=C3C3=C2C=CC=C3)C(OC(C)(C)C)=CC=C1	BmtBP-BF	Cassidy, S.J. Electron-deficient heterofluorene conjugated polymers and small molecules. Ph.D. Thesis, The University of Alabama, 2018.	https://ir.ua.edu/handle/123456789/5352	InChI=1S/C27H31BO2/c1-26(2,3)29-18-19-12-11-17-24(30-27(4,5)6)25(19)28-22-15-9-7-13-20(22)21-14-8-10-16-23(21)28/h7-17H,18H2,1-6H3	CEWFUSCHFPTMQB-UHFFFAOYSA-N	CEWFUSCHFPTMQB-UHFFFAOYSA-N	CC(C)(C)OCC1=C(B2C3=CC=CC=C3C3=C2C=CC=C3)C(OC(C)(C)C)=CC=C1	TRUE
UALIB-969	CSCC1=C(B2C3=CC=CC=C3C3=C2C=CC=C3)C(SC)=CC=C1	BMTP-BF	Cassidy, S.J. Electron-deficient heterofluorene conjugated polymers and small molecules. Ph.D. Thesis, The University of Alabama, 2018.	https://ir.ua.edu/handle/123456789/5352	InChI=1S/C21H19BS2/c1-23-14-15-8-7-13-20(24-2)21(15)22-18-11-5-3-9-16(18)17-10-4-6-12-19(17)22/h3-13H,14H2,1-2H3	QZQXJLNKLRKIPE-UHFFFAOYSA-N	QZQXJLNKLRKIPE-UHFFFAOYSA-N	CSCC1=C(B2C3=CC=CC=C3C3=C2C=CC=C3)C(SC)=CC=C1	TRUE
