SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CC(C)CC(C1=CC=C(Br)S1)C1=CC=C(Br)S1	UALIB-1812	26 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	VBWCMDBTJZXGMT-UHFFFAOYSA-N
CC(C)CC(C1=CC=C(S1)C=O)C1=CC=C(S1)C=O	UALIB-1813	27 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	OKRMPVZLLGUKAG-UHFFFAOYSA-N
CC(C)C[C@H]1C2=CC=C(S2)\C=C/C2=CC=C(S2)[C@@H](CC(C)C)C2=CC=C(S2)\C=C/C2=CC=C1S2.CC(C)C[C@H]1C2=CC=C(S2)\C=C/C2=CC=C(S2)[C@H](CC(C)C)C2=CC=C(S2)\C=C/C2=CC=C1S2	UALIB-1814	28/29 (diastereomeric mixture) (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	RFXGLMRQUWYZIY-UZVFCIBJSA-N
CN1C(=CC=C1C1=CC=CS1)C1=CC=CS1	UALIB-1815	2 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	PGFNUASIFPKIAM-UHFFFAOYSA-N
CN1C(=CC=C1C1=CC=C(S1)C=O)C1=CC=C(S1)C=O	UALIB-1816	3 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	BNQQILJZBBYIOV-UHFFFAOYSA-N
CN1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(N1C)C1=CC=C(S1)\C=C/C1=CC=C2S1	UALIB-1817	4 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	HZZGBUFFRCXFAW-ZHJSWXAHSA-N
CCCCCCCCCCCCN1C(=CC=C1C1=CC=CS1)C1=CC=CS1	UALIB-1818	5 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	SDIALVWFWRNZAG-UHFFFAOYSA-N
CCCCCCCCCCCCN1C(=CC=C1C1=CC=C(S1)C=O)C1=CC=C(S1)C=O	UALIB-1819	6 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	NMTOZNJXHVZWDU-UHFFFAOYSA-N
CCCCCCCCCCCCN1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(N1CCCCCCCCCCCC)C1=CC=C(S1)\C=C/C1=CC=C2S1	UALIB-1820	7 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	RUMGYPYHOMWNOG-ACNMRASRSA-N
N1C(=CC=C1C1=CC=CS1)C1=CC=CS1	UALIB-1821	8 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	REHRCHHNCOTPBV-UHFFFAOYSA-N
O=CC1=CC=C(S1)C1=CC=C(N1)C1=CC=C(S1)C=O	UALIB-1822	9 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	SCXRMAVFUJHXDD-UHFFFAOYSA-N
N1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(N1)C1=CC=C(S1)\C=C/C1=CC=C2S1	UALIB-1823	10 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	BKIZHBRSPCCGGV-NXECHLCGSA-N
S1C2=CC=C1C1=N\C(C=C1)=C1/S\C(\C=C1)=C/C=C1\S\C(\C=C1)=C1\C=CC(=N1)C1=CC=C(S1)\C=C/2	UALIB-1824	11 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	JCDVTKZVUSSTPN-NXECHLCGSA-N
CC\C(=C(\CC)C1=CC=C(S1)C1=CC=C(N1)C1=CC=CS1)C1=CC=C(S1)C1=CC=C(N1)C1=CC=CS1.CC\C(=C(/CC)C1=CC=C(S1)C1=CC=C(N1)C1=CC=CS1)C1=CC=C(S1)C1=CC=C(N1)C1=CC=CS1	UALIB-1825	14a and b mixture (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	VLYVXEWSQIKFKF-QGLLLRSCSA-N
CCC(=O)C1=CC=C(S1)C1=CC=C(N1)C1=CC=CS1	UALIB-1826	13 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	UXAXPLGXOJTEJJ-UHFFFAOYSA-N
CCC(=O)C1=CC=C(S1)C1=CC=C(N1)C1=CC=C(S1)C(=O)CC	UALIB-1827	12 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	ORKUAQLRRAXMND-UHFFFAOYSA-N
N1C(=CC=C1C1=CC=CO1)C1=CC=CO1	UALIB-1828	16 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	LVNCAKWMHAWCCM-UHFFFAOYSA-N
O=CC1=CC=C(O1)C1=CC=C(N1)C1=CC=CO1	UALIB-1829	17 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	REQAWBLGWATTBS-UHFFFAOYSA-N
O1C(=CC=C1C1=CC=CS1)C1=CC=CS1	UALIB-1830	18 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	FEBXMKWMRKJKKW-UHFFFAOYSA-N
O=CC1=CC=C(S1)C1=CC=C(O1)C1=CC=C(S1)C=O	UALIB-1831	19 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	OFKNDOCRYWMQIK-UHFFFAOYSA-N
O1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(O1)C1=CC=C(S1)\C=C/C1=CC=C2S1	UALIB-1832	20 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	ZUAVKJKVNRMXDH-NXECHLCGSA-N
O=C1CCC(=O)C2=CC=C(S2)\C=C/C2=CC=C(S2)C(=O)CCC(=O)C2=CC=C(S2)\C=C/C2=CC=C1S2	UALIB-1833	21 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	OKOOWOQMCQIOSH-LOKDLIDFSA-N
CN1C(=O)C=CC1=S	UALIB-1834	9 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	ORSCCCRAKFHXNU-UHFFFAOYSA-N
CN1C(=O)C2CC(C)=C(C)CC2C1=S	UALIB-1835	11 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	GZHABWFDCKXNPD-UHFFFAOYSA-N
CN1C(=O)C=CC11CC(C)=C(C)CS1	UALIB-1836	13 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	WESPWPAZIVJZBK-UHFFFAOYSA-N
CN1C(=O)C2CC(C)=C(C)CC2C1=O	UALIB-1837	12 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	KYDLJSYPTLTQOB-UHFFFAOYSA-N
[H][C@@]12[C@@H](OC(=O)C3=CC=CC=C3)C=C[C@@H](OC(=O)C3=CC=CC=C3)[C@]1([H])C(=S)N(C)C2=O	UALIB-1838	19 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	CEOXGYREZQSKJZ-MANSERQUSA-N
[H][C@@]12[C@@H](OC(=O)C3=CC=CC=C3)C=C[C@@H](OC(=O)C3=CC=CC=C3)[C@]1([H])C(=O)N(C)C2=O	UALIB-1839	20 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	CCDQOLHAACRIQH-SEXKYXSUSA-N
[H][C@@]12CC(=O)C[C@@H](OC)[C@]1([H])C(=S)N(C)C2=O	UALIB-1840	23 (part 2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	KOGJFTDIOXENGN-BWZBUEFSSA-N
