SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0	Notes
NC12N3CC=CCN1C(=O)N1CC=CCN(C3=O)C21N	UALIB-487	3a,6a-Diamino-1,6,8,13-tetraazatetracyclo[11.2.1.0 (6,15) .0 (8,14) ]hexadeca-3,10-diene-7,16-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VZOFOLBAAYSOCW-UHFFFAOYSA-N	
O=C1NC23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C32N1	UALIB-488	1,6,8,13,15,17-Hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18) ]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	ONQZOXWLNKBFQP-UHFFFAOYSA-N	
ClCC(=O)N1C(=O)N(C(=O)CCl)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C132	UALIB-489	15,17-bis(2-chloroacetyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18)]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	IMUJEQPZMQLUOQ-UHFFFAOYSA-N	
O=C1N(CC#N)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C32N1CC#N	UALIB-490	15,17-Bis(cyanomethyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18)]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VEHHHASTNCRQEZ-UHFFFAOYSA-N	
C=CCN1C(=O)N(CC=C)C23N4CC=CCN2C(=O)N2CC=CCN(C4=O)C132	UALIB-491	15,17-Bis(allyl)-1,6,8,13,15,17-hexaazapentacyclo[11.5.1.0 (6,18). 0 (8,14) .0 (14,18) ]nonadeca-3,10-diene-7,16,19-trione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	HSVKSULNKBVYJX-UHFFFAOYSA-N	
[H]N1C(=O)N([H])C2([H])N([H])C(=O)N([H])C12[H]	UALIB-492	Octahydroimidazo[4,5-d]imidazolidine-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VPVSTMAPERLKKM-UHFFFAOYSA-N	
O=C1N2CN3C4C5N(CN6C7C8N(CN9C%10C%11N(CN%12C%13C%14N(CN1C1C2N2CN4C(=O)N5CN7C(=O)N8CN%10C(=O)N%11CN%13C(=O)N%14CN1C2=O)C%12=O)C9=O)C6=O)C3=O	UALIB-493	Cucurbit[n]uril a	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VKSVEHYLRGITRK-UHFFFAOYSA-N	
O=C1N2CN3C4C5N(CN6C7C8N(CN9C%10C%11N(CN%12C%13C%14N(CN%15C%16C%17N(CN1C1C2N2CN4C(=O)N5CN7C(=O)N8CN%10C(=O)N%11CN%13C(=O)N%14CN%16C(=O)N%17CN1C2=O)C%15=O)C%12=O)C9=O)C6=O)C3=O	UALIB-494	Cucurbit[n]uril b	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	MSBXTPRURXJCPF-UHFFFAOYSA-N	
[H]C12N(C)C(=O)N(C)C1([H])N(C)C(=O)N2C	UALIB-495	1,3,4,6-Tetramethyl octahydroimidazo[4,5-d]imidazolidine-2,5-dione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	XIUUSFJTJXFNGH-UHFFFAOYSA-N	
[H]C12N(C)C(=S)N(C)C1([H])N(C)C(=S)N2C	UALIB-496	1,3,4,6-Tetramethyl octahydroimidazo[4,5-d]imidazolidine-2,5-dithione	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	JEPVGXBHJFLXEJ-UHFFFAOYSA-N	
F[B-](F)(F)F.F[B-](F)(F)F.[H]C12N(C)[C+](SC)N(C)C1([H])N(C)[C+](SC)N2C	UALIB-497	1,3,4,6-Tetramethyl-2,5-bis(methylsulfanyl)-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) bis(tetrafluoroborate)	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	RXQDLOPOUYNCJS-UHFFFAOYSA-N	
F[B-](F)(F)F.[H]C12N(C)[C+](SC)N(C)C1([H])N(C)C(=O)N2C	UALIB-498	1,3,4,6-Tetramethyl-2-(methylsulfanyl)-5-oxo-octahydroimidazo[4,5-d]imidazolidin-2-ylium tetrafluoroborate	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	IPDFXSWZTGJXOM-UHFFFAOYSA-N	
OS([O-])(=O)=O.OS([O-])(=O)=O.[H][C+]1N(C)C2([H])N(C)[C+]([H])N(C)C2([H])N1C	UALIB-499	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) dihydrogensulfate 	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	OEHZNSKTYGNPQL-UHFFFAOYSA-L	
[Cl-].[Cl-].[H][C+]1N(C)C2([H])N(C)[C+]([H])N(C)C2([H])N1C	UALIB-500	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) dichloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	PLEXESTXLLPXHM-UHFFFAOYSA-L	
[H]C12N(C)CN(C)C1([H])N(C)CN2C	UALIB-501	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	GBWWXVPVIWUTLU-UHFFFAOYSA-N	
F[B-](F)(F)F.F[B-](F)(F)F.[H][C+]1N(C)C2([H])N(C)[C+]([H])N(C)C2([H])N1C	UALIB-502	1,3,4,6-Tetramethyl-octahydroimidazo[4,5-d]imidazolidine-2,5-bis(ylium) bis(tetrafluoroborate)	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VLEIFWURIHJGSH-UHFFFAOYSA-N	
[Cl-].[H]C12N(C)[C+](Cl)N(C)C1([H])N(C)C(=O)N2C	UALIB-503	2-Chloro – 1,3,4,6-tetramethyl-5-oxo-octahydroimidazo[4,5-d]imidazolin-2-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	QURIMMSUJAFZEM-UHFFFAOYSA-M	
[H]C12N(C)C(=O)N(C)C1([H])N(C)C(N2C)=C1N(C)C2C(N(C)C(=O)N2C)N1C.[H]C12N(C)C(=O)N(C)C1([H])N(C)C(N2C)=C1N(C)C2([H])N(C)C(=O)N(C)C2([H])N1C	UALIB-504	1,3,4,6-Tetramethyl-5-(1,3,4,6-tetramethyl-5-oxo-octahydroimidazo[4,5-d]imidazolin-2-ylidene)-octahydroimidazol[4,5-d]imidazolin-2-one	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	VEENEILIRBPHFG-UHFFFAOYSA-N	
[Cl-].[H][C+]1N(C)C2([H])N(C)C(=O)N(C)C2([H])N1C	UALIB-505	1,3,4,6-Tetramethyl-5-oxo-octahydroimidazo[4,5-d]imidazolin-2-ylium chloride	Iconaru, L.I. Fused polycyclic imidazoles. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/683	WHQYSQQFSZZODB-UHFFFAOYSA-M	
