SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
CCO\C(O[Si](C)(C)C)=C(\C=C\C)/[Si](C)(C)C	UALIB-941	60e	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	DNBQZSHBQNJIRP-GNDASISDSA-N
CCO\C(O[Si](C)(C)C)=C(\C=C\C)/[Si](CC)(CC)CC	UALIB-942	60f	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	PSIOCEFTBJUJMF-MPKFQDELSA-N
CCO\C(O[Si](C)(C)C)=C(\C=C\[Si](C)(C)C)/[Si](C)(C)C	UALIB-943	60h	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	PDHIKEOKIQFXHJ-SQIWNDBBSA-N
CCO\C(O[Si](C)(C)C)=C(\C=C(C)C)[Si](C)(C)C	UALIB-944	60g	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	LJHOOEJFICDVSU-BUHFOSPRSA-N
CCOC(=O)C(C(CC)CC)[Si](C)(C)C	UALIB-945	116a	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	FOCLANABXSPPJE-UHFFFAOYSA-N
CCOC(=O)C(C(C)CC)[Si](C)(C)C	UALIB-946	116b	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	VWXMTDNXACOXEG-UHFFFAOYSA-N
CCOC(=O)[C@H]([C@@H](CC)C[Si](C)(C)C)[Si](C)(C)C	UALIB-947	116d	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	KGXILDWPAXYPTN-STQMWFEESA-N
CCOC(=O)[C@H]([C@@H](CC)CC1=CC=CC=C1)[Si](C)(C)C	UALIB-948	116f	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	IXGIRYHQDWAVKN-HOTGVXAUSA-N
CCOC(=O)C(C(CC)CC)[Si](CC)(CC)CC	UALIB-949	116g	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	UCJJQSMTPGQKFO-UHFFFAOYSA-N
CCOC(=O)[C@H]([C@@H](CC)C(C)C)[Si](C)(C)C	UALIB-950	116c	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	GCIGQRUHDXQSSN-RYUDHWBXSA-N
CCOC(=O)[C@H]([C@@H](C[Si](C)(C)C)C(C)C)[Si](C)(C)C	UALIB-951	116j	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	PAFXKHQAVMCIRY-KBPBESRZSA-N
CCOC(=O)[C@H]([C@@H](CC)C(C)C)[Si](CC)(CC)CC	UALIB-952	116k	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	WRCLTFRBIQVXHO-GJZGRUSLSA-N
CCOC(=O)[C@H]([C@@H](C)C(C)C)[Si](C)(C)C	UALIB-953	116e	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	KHQAQXITMFRPFP-QWRGUYRKSA-N
CCOC(=O)[C@H]([C@@H](CC)C1=CC=CC=C1)[Si](C)(C)C	UALIB-954	116h	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	TXGGQIQVXACKRC-GJZGRUSLSA-N
CCOC(=O)[C@H]([C@@H](C)C1=CC=CC=C1)[Si](C)(C)C	UALIB-955	116i	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	YXADUJGIFUKQQU-JSGCOSHPSA-N
CCOC(=O)[C@H]([C@@H](CC)C1CCCCC1)[Si](C)(C)C	UALIB-956	116l	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	RTXBBUAONQYEDL-GJZGRUSLSA-N
CCOC(=O)[C@H]([C@@H](C)C1CCCCC1)[Si](C)(C)C	UALIB-957	116m	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	DQRYGFRIOVHDBM-JSGCOSHPSA-N
CCOC(=O)\C(=C/CC)\C=C\C1=CC=CC=C1	UALIB-958	166e	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	MQTVTUKROPSUOF-LVIRMKODSA-N
CCOC(=O)\C(\C=C\C1=CC=CC=C1)=C/C(C)C	UALIB-959	166f	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	PLPJMUFTVJHSPG-JWIYKGGMSA-N
CCOC(=O)C(=C/CC)\C=C(C)C	UALIB-960	166h	Johnson, D.A. Synthetic applications of (E)-alpha-trialkylsilyl-alpha,beta-unsaturated esters. Ph.D. Thesis, The University of Alabama, 2017.	https://ir.ua.edu/handle/123456789/3547	LABDFCQEZVFCQJ-YFHOEESVSA-N
