SMILES_CHEMAXON_19.27.0	DATASOURCE_REGID	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_CHEMAXON_19.27.0
SC(=O)CC1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1550	34	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	AJYRINLVRJVCDF-UHFFFAOYSA-N
O=C(CC1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2)N1CC1	UALIB-1551	39A	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	WHXBMARHKINZIN-UHFFFAOYSA-N
N#CC[Se]C1=CC=CC=C1	UALIB-1552	45	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	JQHNKMBHJPUBKY-UHFFFAOYSA-N
OC(=O)CC[Se]C1=CC=CC=C1	UALIB-1553	46	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	XZFIEIUSGQYKAY-UHFFFAOYSA-N
NCC[Se]C1=CC=CC=C1	UALIB-1554	43	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	ZVWHXJQEPOSKDN-UHFFFAOYSA-N
O=C(CC1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2)NCC[Se]C1=CC=CC=C1	UALIB-1555	42	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	ZJXBUQDQCTUOTG-UHFFFAOYSA-N
CCNC(=O)CC1=C2N(C=NC3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1556	50	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	XEZUDYNWDLDBLL-UHFFFAOYSA-N
[H]N1CN2C3=C(C=CC=C3)C(CC(=O)NCC[Se]C3=CC=CC=C3)=C2C2=C1C=CC=C2	UALIB-1557	51	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	VCOAWXWNVLACPU-UHFFFAOYSA-N
CC(=O)N1CN2C3=C(C=CC=C3)C(CC(=O)NCC[Se]C3=CC=CC=C3)=C2C2=C1C=CC=C2	UALIB-1558	52	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	HIONDOPEKORMEU-UHFFFAOYSA-N
CCNC(=O)CC1=C2N(CN(C(C)=O)C3=C2C=CC=C3)C2=C1C=CC=C2	UALIB-1559	53	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	DFEDLKZUXCKRIZ-UHFFFAOYSA-N
CC(=O)N1CN2C3=C(C=CC=C3)C(C(=O)C(=O)NCC[Se]C3=CC=CC=C3)=C2C2=C1C=CC=C2	UALIB-1560	55	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	GFKXUCABKSUXHG-UHFFFAOYSA-N
CC(=O)N1CN2C3=C(C=CC=C3)C(C(O)C(=O)NCC[Se]C3=CC=CC=C3)=C2C2=C1C=CC=C2	UALIB-1561	56	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	MJWHOMSECISGAK-UHFFFAOYSA-N
CC(=NNC1=CC=CC=C1)C1=CC=CC=C1	UALIB-1562	58	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	CPSCIFXVLXCFIQ-UHFFFAOYSA-N
N1C2=C(C=C1C1=CC=CC=C1)C=CC=C2	UALIB-1563	59	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	KLLLJCACIRKBDT-UHFFFAOYSA-N
CN(C)CC1=C(NC2=C1C=CC=C2)C1=CC=CC=C1	UALIB-1564	60	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	CECAAFFTTFQGHF-UHFFFAOYSA-N
N#CCC1=C(NC2=C1C=CC=C2)C1=CC=CC=C1	UALIB-1565	62	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	CNAHOBNLHXZPRN-UHFFFAOYSA-N
NCCC1=C(NC2=C1C=CC=C2)C1=CC=CC=C1	UALIB-1566	63	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	HQJIMWXWTRWIAL-UHFFFAOYSA-N
ClC(=O)NCCC1=C(NC2=C1C=CC=C2)C1=CC=CC=C1	UALIB-1567	64	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	PCNJGUPSQSAFCP-UHFFFAOYSA-N
O=C1CC2(CCN1)C1=C(C=CC=C1)N=C2C1=CC=CC=C1	UALIB-1568	65	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	PVHSSTLZXLUZCB-UHFFFAOYSA-N
[H]N1C=C(C(=O)C(=O)NCC[Se]C2=CC=CC=C2)C2=C1C=CC=C2	UALIB-1569	70	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	QOSOGGJIMWVPPJ-UHFFFAOYSA-N
[H]N1C=C(CCNC(Cl)=O)C2=C1C=CC=C2	UALIB-1570	72	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	DYLZIEJUPVHJHS-UHFFFAOYSA-N
O=C1CC2(CCN1)C=NC1=C2C=CC=C1	UALIB-1571	73	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	APTJSFGAOUQSSE-UHFFFAOYSA-N
[H]N1C(=CC2=C1C=CC=C2)C(=O)N(C)C	UALIB-1572	79	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	AYVIZFVTRRWODF-UHFFFAOYSA-N
[H]N1C(CN(C)C)=CC2=C1C=CC=C2	UALIB-1573	80	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	HBBCKARIXVLLRZ-UHFFFAOYSA-N
[H]N1C(CC#N)=CC2=C1C=CC=C2	UALIB-1574	82	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	RORMSTAFXZRNGK-UHFFFAOYSA-N
[H]N1C(CN)=CC2=C1C=CC=C2	UALIB-1575	76	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	RNAODKZCUVVPEN-UHFFFAOYSA-N
[H]N1C(CCNC(=O)CCl)=CC2=C1C=CC=C2	UALIB-1576	84	Billimoria, A.D. The chemistry of indolo [1,2-c]quinazoline; approaches to marine alkaloid hinckdentine A. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=838450	SZDWYKDUVQMHMH-UHFFFAOYSA-N
