SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI_1.05_KnowItAll 2018
C1C([C@@]2(C[C@]([C@]1(O2)C)(C#CCOC(C)OCC)[H])C)=O	UALIB-2482	19a	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	XRYAJSFRXMYSNI-FHCTVPRHSA-N	InChI=1S/C15H22O4/c1-5-17-11(2)18-8-6-7-12-9-15(4)13(16)10-14(12,3)19-15/h11-12H,5,8-10H2,1-4H3/t11?,12-,14+,15+/m1/s1
C1C([C@@]2(C[C@]([C@]1(O2)C)(C#CCOC1OCCCC1)[H])C)=O	UALIB-2483	19b	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	HHTSZCQZJKXKQB-YWQJXVSHSA-N	InChI=1S/C16H22O4/c1-15-11-13(17)16(2,20-15)10-12(15)6-5-9-19-14-7-3-4-8-18-14/h12,14H,3-4,7-11H2,1-2H3/t12-,14?,15+,16+/m1/s1
C1C([C@@]2(C[C@]([C@]1(O2)C)(c1ccccc1)[H])C)=O	UALIB-2484	35	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	RUDYRGFTVUSFJY-UBHSHLNASA-N	InChI=1S/C14H16O2/c1-13-9-12(15)14(2,16-13)8-11(13)10-6-4-3-5-7-10/h3-7,11H,8-9H2,1-2H3/t11-,13-,14-/m0/s1
C(OC)(=O)[C@@]1([C@@]2(CC([C@]([C@@]1(C(OC)=O)[H])(O2)C)=O)C)[H]	UALIB-2485	36a	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	DVDQMGKGLXENMZ-UFGYURQFSA-N	InChI=1S/C12H16O6/c1-11-5-6(13)12(2,18-11)8(10(15)17-4)7(11)9(14)16-3/h7-8H,5H2,1-4H3/t7-,8+,11+,12-/m1/s1
C(OCC)(=O)[C@@]1([C@@]2(CC([C@]([C@@]1(C(OCC)=O)[H])(O2)C)=O)C)[H]	UALIB-2486	36b	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	PXHJQGSZLQXJLP-XXSPCDMZSA-N	InChI=1S/C14H20O6/c1-5-18-11(16)9-10(12(17)19-6-2)14(4)8(15)7-13(9,3)20-14/h9-10H,5-7H2,1-4H3/t9-,10+,13+,14-/m1/s1
C(OC)(=O)[C@@]1([C@@]2(CC([C@]([C@]1(C(OC)=O)[H])(O2)C)=O)C)[H]	UALIB-2487	37	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	DVDQMGKGLXENMZ-VZJNWSLWSA-N	InChI=1S/C12H16O6/c1-11-5-6(13)12(2,18-11)8(10(15)17-4)7(11)9(14)16-3/h7-8H,5H2,1-4H3/t7-,8-,11+,12-/m1/s1
C(OCC)(=O)[C@@]1([C@@]2(CC([C@](C1)(O2)C)=O)C)[H]	UALIB-2488	39	Collison, R.F. Anion-assisted [4 + 2]-cycloadditions of 3(2H)-furanones and related compounds. Ph.D. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1033741	PAFIIYXGUKUNBZ-GGVZMXCHSA-N	InChI=1S/C11H16O4/c1-4-14-9(13)7-5-11(3)8(12)6-10(7,2)15-11/h7H,4-6H2,1-3H3/t7-,10+,11+/m1/s1
