DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEY MATCH?
UALIB-408	CC(CC(=O)O)C1=CC=CC=C1	3-phenylbutyric acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C10H12O2/c1-8(7-10(11)12)9-5-3-2-4-6-9/h2-6,8H,7H2,1H3,(H,11,12)	ZZEWMYILWXCRHZ-UHFFFAOYSA-N	ZZEWMYILWXCRHZ-UHFFFAOYSA-N	CC(CC(O)=O)C1=CC=CC=C1	TRUE
UALIB-409	O=C(O)CC1=CC=CC=C1	phenylacetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C8H8O2/c9-8(10)6-7-4-2-1-3-5-7/h1-5H,6H2,(H,9,10)	WLJVXDMOQOGPHL-UHFFFAOYSA-N	WLJVXDMOQOGPHL-UHFFFAOYSA-N	OC(=O)CC1=CC=CC=C1	TRUE
UALIB-410	COC1=CC=C(CC(=O)O)C=C1	(4-methoxyphenyl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C9H10O3/c1-12-8-4-2-7(3-5-8)6-9(10)11/h2-5H,6H2,1H3,(H,10,11)	NRPFNQUDKRYCNX-UHFFFAOYSA-N	NRPFNQUDKRYCNX-UHFFFAOYSA-N	COC1=CC=C(CC(O)=O)C=C1	TRUE
UALIB-411	O=C(O)CC1=CC=C([N+](=O)[O-])C=C1	(4-nitrophenyl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C8H7NO4/c10-8(11)5-6-1-3-7(4-2-6)9(12)13/h1-4H,5H2,(H,10,11)	YBADLXQNJCMBKR-UHFFFAOYSA-N	YBADLXQNJCMBKR-UHFFFAOYSA-N	OC(=O)CC1=CC=C(C=C1)[N+]([O-])=O	TRUE
UALIB-412	O=C(O)CC1=CC2=CC=CC=C2C=C1	Naphthalen-2-ylacetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C12H10O2/c13-12(14)8-9-5-6-10-3-1-2-4-11(10)7-9/h1-7H,8H2,(H,13,14)	VIBOGIYPPWLDTI-UHFFFAOYSA-N	VIBOGIYPPWLDTI-UHFFFAOYSA-N	OC(=O)CC1=CC2=CC=CC=C2C=C1	TRUE
UALIB-413	O=C(O)CC1=CC=CO1	2-(furan-2-yl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H6O3/c7-6(8)4-5-2-1-3-9-5/h1-3H,4H2,(H,7,8)	VYSRZETUSAOIMP-UHFFFAOYSA-N	VYSRZETUSAOIMP-UHFFFAOYSA-N	OC(=O)CC1=CC=CO1	TRUE
UALIB-414	O=C(O)CC1=CC=CS1	2-(thiophen-2-yl)acetic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H6O2S/c7-6(8)4-5-2-1-3-9-5/h1-3H,4H2,(H,7,8)	SMJRBWINMFUUDS-UHFFFAOYSA-N	SMJRBWINMFUUDS-UHFFFAOYSA-N	OC(=O)CC1=CC=CS1	TRUE
UALIB-415	CC(C)=CCC(=O)O	4-methylpent-3-enoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H10O2/c1-5(2)3-4-6(7)8/h3H,4H2,1-2H3,(H,7,8)	CQJHAULYLJXJNL-UHFFFAOYSA-N	CQJHAULYLJXJNL-UHFFFAOYSA-N	CC(C)=CCC(O)=O	TRUE
UALIB-416	CC/C=C/CC(=O)O	(E)-hex-3-enoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C6H10O2/c1-2-3-4-5-6(7)8/h3-4H,2,5H2,1H3,(H,7,8)/b4-3+	XXHDAWYDNSXJQM-ONEGZZNKSA-N	XXHDAWYDNSXJQM-ONEGZZNKSA-N	CC\C=C\CC(O)=O	TRUE
UALIB-417	CC/C=C(\C)CC(=O)O	(E)-3-methylhex-3-enoic acid	Cafiero, L. New synthetic applications of trichloromethyl carbinols in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	https://ir.ua.edu/handle/123456789/615	InChI=1S/C7H12O2/c1-3-4-6(2)5-7(8)9/h4H,3,5H2,1-2H3,(H,8,9)/b6-4+	GBBXAKWLJDVDQY-GQCTYLIASA-N	GBBXAKWLJDVDQY-GQCTYLIASA-N	CC\C=C(/C)CC(O)=O	TRUE
