DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	
UALIB-1315	COC1=CC(CCCO)=CC(OC)=C1OC	3-(3,4,5-Trimethoxyphenyl)-1-propanol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C12H18O4/c1-14-10-7-9(5-4-6-13)8-11(15-2)12(10)16-3/h7-8,13H,4-6H2,1-3H3	IBRWTCISGCXHQZ-UHFFFAOYSA-N	IBRWTCISGCXHQZ-UHFFFAOYSA-N	COC1=CC(CCCO)=CC(OC)=C1OC	TRUE	
UALIB-1316	COC1=CC(CCCO[Si](C(C)C)(C(C)C)C(C)C)=CC(OC)=C1OC	5-(3-Triisopropylsiloxypropyl)-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C21H38O4Si/c1-15(2)26(16(3)4,17(5)6)25-12-10-11-18-13-19(22-7)21(24-9)20(14-18)23-8/h13-17H,10-12H2,1-9H3	RYKWWGOCRZEQDZ-UHFFFAOYSA-N	RYKWWGOCRZEQDZ-UHFFFAOYSA-N	COC1=CC(CCCO[Si](C(C)C)(C(C)C)C(C)C)=CC(OC)=C1OC	TRUE	
UALIB-1317	COC1=C(OC)C(OC)=C(I)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	5-(3-Triisopropylsiloxypropyl)-4-iodo-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C21H37IO4Si/c1-14(2)27(15(3)4,16(5)6)26-12-10-11-17-13-18(23-7)20(24-8)21(25-9)19(17)22/h13-16H,10-12H2,1-9H3	GJJIEPRUFKKMGQ-UHFFFAOYSA-N	GJJIEPRUFKKMGQ-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(I)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	TRUE	
UALIB-1318	COC1=C(OC)C(OC)=C(C#C[Si](C)(C)C)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	5-(3-Triisopropylsiloxypropyl)-4-(2-trimethylsilyethynyl)-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C26H46O4Si2/c1-19(2)32(20(3)4,21(5)6)30-16-13-14-22-18-24(27-7)26(29-9)25(28-8)23(22)15-17-31(10,11)12/h18-21H,13-14,16H2,1-12H3	AOFJQXYUZMRMJL-UHFFFAOYSA-N	AOFJQXYUZMRMJL-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C[Si](C)(C)C)C(CCCO[Si](C(C)C)(C(C)C)C(C)C)=C1	TRUE	
UALIB-1319	C#CC1=C(OC)C(OC)=C(OC)C=C1CCCO	3-(2-Ethynyl-3,4,5-trimethoxyphenyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C14H18O4/c1-5-11-10(7-6-8-15)9-12(16-2)14(18-4)13(11)17-3/h1,9,15H,6-8H2,2-4H3	BJFQIKGJWOTJKR-UHFFFAOYSA-N	BJFQIKGJWOTJKR-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCCO)=C1	TRUE	
UALIB-1320	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(O)C(Cl)(Cl)Cl	4-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1,1,1-trichloro-butan-2-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C15H17Cl3O4/c1-5-10-9(6-7-12(19)15(16,17)18)8-11(20-2)14(22-4)13(10)21-3/h1,8,12,19H,6-7H2,2-4H3	KIZRBZQSWRSYGN-UHFFFAOYSA-N	KIZRBZQSWRSYGN-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCC(O)C(Cl)(Cl)Cl)=C1	TRUE	
UALIB-1321	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(N=[N+]=[N-])C(=O)O	2-Azido-4-(2-Ethynyl-3,4,5-trimethoxyphenyl)-butanoic acid	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C15H17N3O5/c1-5-10-9(6-7-11(15(19)20)17-18-16)8-12(21-2)14(23-4)13(10)22-3/h1,8,11H,6-7H2,2-4H3,(H,19,20)	CIEWFKQHCJKDOI-UHFFFAOYSA-N	CIEWFKQHCJKDOI-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCC(N=[N+]=[N-])C(O)=O)=C1	TRUE	
UALIB-1322	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(N=[N+]=[N-])C(=O)OC	Methyl [2-Azido-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C16H19N3O5/c1-6-11-10(7-8-12(18-19-17)16(20)24-5)9-13(21-2)15(23-4)14(11)22-3/h1,9,12H,7-8H2,2-5H3	SLWWYMCEWAQHCT-UHFFFAOYSA-N	SLWWYMCEWAQHCT-UHFFFAOYSA-N	COC(=O)C(CCC1=CC(OC)=C(OC)C(OC)=C1C#C)N=[N+]=[N-]	TRUE	
UALIB-1323	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(N)C(=O)OC	Methyl [2-amino-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C16H21NO5/c1-6-11-10(7-8-12(17)16(18)22-5)9-13(19-2)15(21-4)14(11)20-3/h1,9,12H,7-8,17H2,2-5H3	WCOFBUILQKPVFZ-UHFFFAOYSA-N	WCOFBUILQKPVFZ-UHFFFAOYSA-N	COC(=O)C(N)CCC1=CC(OC)=C(OC)C(OC)=C1C#C	TRUE	
UALIB-1324	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(NC(C)=O)C(=O)OC	Methyl [2-acetamido-4-(2-ethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C18H23NO6/c1-7-13-12(8-9-14(18(21)25-6)19-11(2)20)10-15(22-3)17(24-5)16(13)23-4/h1,10,14H,8-9H2,2-6H3,(H,19,20)	KKGZZKSGTSDWGD-UHFFFAOYSA-N	KKGZZKSGTSDWGD-UHFFFAOYSA-N	COC(=O)C(CCC1=CC(OC)=C(OC)C(OC)=C1C#C)NC(C)=O	TRUE	
UALIB-1325	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(O)C1=NC=CO1	3-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1-(2,5-oxazolyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C17H19NO5/c1-5-12-11(6-7-13(19)17-18-8-9-23-17)10-14(20-2)16(22-4)15(12)21-3/h1,8-10,13,19H,6-7H2,2-4H3	CCUABPOSKGFGQX-UHFFFAOYSA-N	CCUABPOSKGFGQX-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCC(O)C2=NC=CO2)=C1	TRUE	
UALIB-1326	C#CC1=C(OC)C(OC)=C(OC)C=C1CC[C@@H](O)C1=NC=CO1	(1R)-3-(2-Ethynyl-3,4,5-trimethoxyphenyl)-1-(2,5-oxazolyl)propan-1-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C17H19NO5/c1-5-12-11(6-7-13(19)17-18-8-9-23-17)10-14(20-2)16(22-4)15(12)21-3/h1,8-10,13,19H,6-7H2,2-4H3/t13-/m1/s1	CCUABPOSKGFGQX-CYBMUJFWSA-N	CCUABPOSKGFGQX-CYBMUJFWSA-N	COC1=C(OC)C(OC)=C(C#C)C(CC[C@@H](O)C2=NC=CO2)=C1	TRUE	
UALIB-1327	C#CC1=C(OC)C(OC)=C(OC)C=C1CC[C@H](N=[N+]=[N-])C1=NC=CO1	5-[(3S)-3-Azido-3-(2,5-oxazolyl)propyl]-4-ethynyl-1,2,3-trimethoxybenzene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C17H18N4O4/c1-5-12-11(10-14(22-2)16(24-4)15(12)23-3)6-7-13(20-21-18)17-19-8-9-25-17/h1,8-10,13H,6-7H2,2-4H3/t13-/m0/s1	LCZYOKKCUWOGCZ-ZDUSSCGKSA-N	LCZYOKKCUWOGCZ-ZDUSSCGKSA-N	COC1=C(OC)C(OC)=C(C#C)C(CC[C@H](N=[N+]=[N-])C2=NC=CO2)=C1	TRUE	
UALIB-1328	C#CC1=C(OC)C(OC)=C(OC)C=C1CC[C@H](NC(C)=O)C1=NC=CO1	(S)-N-Acetyl-3-(2-ethynyl-3,4,5-trimethoxyphenyl)-1-(2-oxazolyl)-propylamine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H22N2O5/c1-6-14-13(11-16(23-3)18(25-5)17(14)24-4)7-8-15(21-12(2)22)19-20-9-10-26-19/h1,9-11,15H,7-8H2,2-5H3,(H,21,22)/t15-/m0/s1	NVTMYILIAXJXBT-HNNXBMFYSA-N	NVTMYILIAXJXBT-HNNXBMFYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CC[C@H](NC(C)=O)C2=NC=CO2)=C1	TRUE	
UALIB-1329	COC1=C(OC)C(OC)=C2C(=C1)CC[C@H](NC(C)=O)C1=C2C=CO1	(S)-N-7-Acetylamino-(12,13,14-Trimethoxy-5-oxatricyclo[8.4.0.0(2,6)]tetradeca-1(10),2(6),3,11,13-pentaene	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C18H21NO5/c1-10(20)19-13-6-5-11-9-14(21-2)17(22-3)18(23-4)15(11)12-7-8-24-16(12)13/h7-9,13H,5-6H2,1-4H3,(H,19,20)/t13-/m0/s1	LALCTSJFOCTOCE-ZDUSSCGKSA-N	LALCTSJFOCTOCE-ZDUSSCGKSA-N	COC1=C(OC)C(OC)=C2C3=C(OC=C3)[C@H](CCC2=C1)NC(C)=O	TRUE	
UALIB-1330	COC(=O)[C@H](CC(=O)C1=CC(OC)=C(OC)C(OC)=C1)NC(=O)OC(C)(C)C	(2S)-Methyl-[2-tert-butoxycarbonylamino-4-oxo-4-(3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H27NO8/c1-19(2,3)28-18(23)20-12(17(22)27-7)10-13(21)11-8-14(24-4)16(26-6)15(9-11)25-5/h8-9,12H,10H2,1-7H3,(H,20,23)/t12-/m0/s1	YOLNPHZGTWKUDN-LBPRGKRZSA-N	YOLNPHZGTWKUDN-LBPRGKRZSA-N	COC(=O)[C@H](CC(=O)C1=CC(OC)=C(OC)C(OC)=C1)NC(=O)OC(C)(C)C	TRUE	
UALIB-1331	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1)NC(=O)OC(C)(C)C	(2S)-Methyl-[2-tert-butoxycarbonylamino-4-(3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H29NO7/c1-19(2,3)27-18(22)20-13(17(21)26-7)9-8-12-10-14(23-4)16(25-6)15(11-12)24-5/h10-11,13H,8-9H2,1-7H3,(H,20,22)/t13-/m0/s1	SZZYPMVELZLVNS-ZDUSSCGKSA-N	SZZYPMVELZLVNS-ZDUSSCGKSA-N	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1)NC(=O)OC(C)(C)C	TRUE	
UALIB-1332	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1I)NC(=O)OC(C)(C)C	(2S)-Methyl-[2-tert-butoxycarbonylamino-4-(2-iodo-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H28INO7/c1-19(2,3)28-18(23)21-12(17(22)27-7)9-8-11-10-13(24-4)15(25-5)16(26-6)14(11)20/h10,12H,8-9H2,1-7H3,(H,21,23)/t12-/m0/s1	JYORUABUAIYCRD-LBPRGKRZSA-N	JYORUABUAIYCRD-LBPRGKRZSA-N	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1I)NC(=O)OC(C)(C)C	TRUE	
UALIB-1333	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1I)NC(C)=O	(2S)-Methyl-[2-acetamido-4-(2-iodo-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C16H22INO6/c1-9(19)18-11(16(20)24-5)7-6-10-8-12(21-2)14(22-3)15(23-4)13(10)17/h8,11H,6-7H2,1-5H3,(H,18,19)/t11-/m0/s1	PHHRIGWNXYMPOA-NSHDSACASA-N	PHHRIGWNXYMPOA-NSHDSACASA-N	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1I)NC(C)=O	TRUE	
UALIB-1334	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1C#C[Si](C)(C)C)NC(C)=O	(2S)-Methyl-[2-acetamido-4-(2-trimethylsilylethynyl-3,4,5-trimethoxyphenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C21H31NO6Si/c1-14(23)22-17(21(24)28-5)10-9-15-13-18(25-2)20(27-4)19(26-3)16(15)11-12-29(6,7)8/h13,17H,9-10H2,1-8H3,(H,22,23)/t17-/m0/s1	WRCMKNKNFWGUHZ-KRWDZBQOSA-N	WRCMKNKNFWGUHZ-KRWDZBQOSA-N	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1C#C[Si](C)(C)C)NC(C)=O	TRUE	
UALIB-1335	C#CC1=C(OC)C(OC)=C(OC)C=C1CC[C@H](NC(C)=O)C(=O)OC	(2S)-Methyl-[2-acetamido-4-(2-ethynyl-3,4,5-trimethoxy)phenyl)]butanoate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C18H23NO6/c1-7-13-12(8-9-14(18(21)25-6)19-11(2)20)10-15(22-3)17(24-5)16(13)23-4/h1,10,14H,8-9H2,2-6H3,(H,19,20)/t14-/m0/s1	KKGZZKSGTSDWGD-AWEZNQCLSA-N	KKGZZKSGTSDWGD-AWEZNQCLSA-N	COC(=O)[C@H](CCC1=CC(OC)=C(OC)C(OC)=C1C#C)NC(C)=O	TRUE	
