DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	
UALIB-1346	COC1=C(I)C2=C(C=CN=C2)C(OC)=C1OC	8-Iodo-5,6,7-trimethoxyisoquinoline	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C12H12INO3/c1-15-10-7-4-5-14-6-8(7)9(13)11(16-2)12(10)17-3/h4-6H,1-3H3	LWLTVZWNJAJRAY-UHFFFAOYSA-N	LWLTVZWNJAJRAY-UHFFFAOYSA-N	COC1=C(I)C2=C(C=CN=C2)C(OC)=C1OC	TRUE	
UALIB-1347	COC1=C(C#C[Si](C)(C)C)C2=C(C=CN=C2)C(OC)=C1OC	8-(2-trimethylsilylethynyl)-5,6,7-trimethoxyisoquinoline	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C17H21NO3Si/c1-19-15-12-7-9-18-11-14(12)13(8-10-22(4,5)6)16(20-2)17(15)21-3/h7,9,11H,1-6H3	WCAMYTWLFNDFFZ-UHFFFAOYSA-N	WCAMYTWLFNDFFZ-UHFFFAOYSA-N	COC1=C(OC)C2=C(C=NC=C2)C(C#C[Si](C)(C)C)=C1OC	TRUE	
UALIB-1348	C#CC1=C(OC)C(OC)=C(OC)C2=C1C=NC=C2	8-Ethynyl-5,6,7-trimethoxyisoquinoline	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C14H13NO3/c1-5-9-11-8-15-7-6-10(11)13(17-3)14(18-4)12(9)16-2/h1,6-8H,2-4H3	XQYPCEXVWDAHOV-UHFFFAOYSA-N	XQYPCEXVWDAHOV-UHFFFAOYSA-N	[H]C#CC1=C(OC)C(OC)=C(OC)C2=C1C=NC=C2	TRUE	
UALIB-1349	C#CC1=C(OC)C(OC)=C(OC)C2=C1C(C#N)N(C(=O)OC(C)(C)C)C=C2	tert-Butyl-1-cyano-8-ethynyl-5,6,7-trimethoxy-1,2-dihydroisoquinoline-2-carboxylate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C20H22N2O5/c1-8-12-15-13(17(25-6)18(26-7)16(12)24-5)9-10-22(14(15)11-21)19(23)27-20(2,3)4/h1,9-10,14H,2-7H3	ZQLCMVBWSHZOFB-UHFFFAOYSA-N	ZQLCMVBWSHZOFB-UHFFFAOYSA-N	[H]C#CC1=C(OC)C(OC)=C(OC)C2=C1C(C#N)N(C=C2)C(=O)OC(C)(C)C	TRUE	
UALIB-1350	C#CC1=C(OC)C(OC)=C(OC)C2=C1C(C1=CN=CO1)N(C(=O)OC(C)(C)C)C=C2	tert-Butyl-8-ethynyl-5,6,7-trimethoxy-1-(2,4-oxazolyl)-1,2-dihydroisoquinoline-2-carboxylate	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C22H24N2O6/c1-8-13-16-14(19(27-6)20(28-7)18(13)26-5)9-10-24(21(25)30-22(2,3)4)17(16)15-11-23-12-29-15/h1,9-12,17H,2-7H3	VKMUPQWAPIMGGA-UHFFFAOYSA-N	VKMUPQWAPIMGGA-UHFFFAOYSA-N	[H]C#CC1=C(OC)C(OC)=C(OC)C2=C1C(N(C=C2)C(=O)OC(C)(C)C)C1=CN=CO1	TRUE	
UALIB-1351	COC1=C(OC)C2=C3C(=NC=C2)C2=C(C=CO2)C3=C1OC	8-(Azaethylidene)-7-ethenyl-4,5,6-trimethoxyindeno[2,3-b]furan	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C16H13NO4/c1-18-14-8-4-6-17-12-10(8)11(9-5-7-21-13(9)12)15(19-2)16(14)20-3/h4-7H,1-3H3	PACLQMIDZGHFGS-UHFFFAOYSA-N	PACLQMIDZGHFGS-UHFFFAOYSA-N	COC1=C2C3=C(OC=C3)C3=NC=CC(=C23)C(OC)=C1OC	TRUE	
UALIB-1352	COC1=C(OC)C2=C3C(=NC=C2)[C@@]24CC(=O)[C@@H](OC)[C@@H](C=C2C3=C1OC)O4	16-Aza-5-methoxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C20H19NO6/c1-23-15-9-5-6-21-19-13(9)14(17(25-3)18(15)26-4)10-7-12-16(24-2)11(22)8-20(10,19)27-12/h5-7,12,16H,8H2,1-4H3/t12-,16-,20-/m1/s1	AOUKKRXCLZAKAE-CBLJQSSYSA-N	AOUKKRXCLZAKAE-ZWTQSMTMSA-N	CO[C@H]1[C@@H]2O[C@]3(CC1=O)C(=C2)C1=C(OC)C(OC)=C(OC)C2=C1C3=NC=C2	FALSE	identified as possible 2D coordinate issue in ChemAxon. Reported this to them. 
UALIB-1353	COC1=C(OC)C2=C3C(=NC=C2)C24OC(C=C2C3=C1OC)CC(=O)C4OC	16-Aza-3-methoxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C20H19NO6/c1-23-15-10-5-6-21-18-13(10)14(16(24-2)17(15)25-3)11-7-9-8-12(22)19(26-4)20(11,18)27-9/h5-7,9,19H,8H2,1-4H3	WZROGWDVHCBJKZ-UHFFFAOYSA-N	WZROGWDVHCBJKZ-UHFFFAOYSA-N	COC1C(=O)CC2OC11C(=C2)C2=C(OC)C(OC)=C(OC)C3=C2C1=NC=C3	TRUE	
UALIB-1354	COC1=C(OC)C2=C3C(=NC=C2)C2=CC(=O)C(OC)=CC=C2C3=C1OC	Imerubrine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C20H17NO5/c1-23-14-6-5-10-12(9-13(14)22)17-15-11(7-8-21-17)18(24-2)20(26-4)19(25-3)16(10)15/h5-9H,1-4H3	UNLMKMRFVJZAEV-UHFFFAOYSA-N	UNLMKMRFVJZAEV-UHFFFAOYSA-N	COC1=C2C3=CC=C(OC)C(=O)C=C3C3=NC=CC(=C23)C(OC)=C1OC	TRUE	
UALIB-1355	COC1=C(OC)C2=C3C(=NC=C2)[C@@]24CC(=O)C[C@@H](C=C2C3=C1OC)O4	16-Aza-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H17NO5/c1-22-15-11-4-5-20-18-13(11)14(16(23-2)17(15)24-3)12-7-10-6-9(21)8-19(12,18)25-10/h4-5,7,10H,6,8H2,1-3H3/t10-,19+/m0/s1	IKHRJKQKLXOEJC-APBUJDDRSA-N	IKHRJKQKLXOEJC-MPFOBBLXSA-N	COC1=C2C3=C[C@@H]4CC(=O)C[C@]3(O4)C3=NC=CC(=C23)C(OC)=C1OC	FALSE	identified as possible 2D coordinate issue in ChemAxon. Reported this to them. 
UALIB-1356	COC1=C(OC)C2=C3C(=NC=C2)[C@@]24CC(OC)(OC)[C@@H](O)[C@@H](C=C2C3=C1OC)O4	16-Aza-4,4-dimethoxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-5-ol	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C21H23NO7/c1-24-15-10-6-7-22-18-13(10)14(16(25-2)17(15)26-3)11-8-12-19(23)21(27-4,28-5)9-20(11,18)29-12/h6-8,12,19,23H,9H2,1-5H3/t12-,19+,20-/m1/s1	AQGNWQLNNQHXLP-OITMNORJSA-N	AQGNWQLNNQHXLP-IWSJWDQHSA-N	COC1=C2C3=C[C@H]4O[C@@]3(CC(OC)(OC)[C@H]4O)C3=NC=CC(=C23)C(OC)=C1OC	FALSE	identified as possible 2D coordinate issue in ChemAxon. Reported this to them. 
UALIB-1357	COC1=C(OC)C2=C3C(=NC=C2)[C@@]24CC(=O)[C@@H](O)[C@@H](C=C2C3=C1OC)O4	16-Aza-5-hydroxy-10,11,12-trimethoxy-18-oxapentacyclo[7.7.1.1(2,6).0(2,8).0(13,17)]octadeca-1(16),7,9(10),11,13(17),14-hexaen-4-one	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H17NO6/c1-23-15-8-4-5-20-18-12(8)13(16(24-2)17(15)25-3)9-6-11-14(22)10(21)7-19(9,18)26-11/h4-6,11,14,22H,7H2,1-3H3/t11-,14-,19-/m1/s1	BPRDLKXSSKXWGH-FRGNPEFRSA-N	BPRDLKXSSKXWGH-RVMQYVRESA-N	COC1=C2C3=C[C@H]4O[C@@]3(CC(=O)[C@H]4O)C3=NC=CC(=C23)C(OC)=C1OC	FALSE	identified as possible 2D coordinate issue in ChemAxon. Reported this to them. 
UALIB-1358	COC1=C(OC)C2=C3C(=NC=C2)C2=CC(=O)C(O)=CC=C2C3=C1OC	Grandirubrine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C19H15NO5/c1-23-17-10-6-7-20-16-11-8-13(22)12(21)5-4-9(11)15(14(10)16)18(24-2)19(17)25-3/h4-8H,1-3H3,(H,21,22)	SKNSHDGCCINVFT-UHFFFAOYSA-N	SKNSHDGCCINVFT-UHFFFAOYSA-N	COC1=C2C3=CC=C(O)C(=O)C=C3C3=NC=CC(=C23)C(OC)=C1OC	TRUE	
UALIB-1359	COC1=C(OC)C2=C3C(=NC=C2)C2=C(C=CC(=O)C(OC)=C2)C3=C1OC	Isoimerubrine	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C20H17NO5/c1-23-14-9-12-10(5-6-13(14)22)16-15-11(7-8-21-17(12)15)18(24-2)20(26-4)19(16)25-3/h5-9H,1-4H3	LSZCTBVMSGTFLL-UHFFFAOYSA-N	LSZCTBVMSGTFLL-UHFFFAOYSA-N	COC1=C2C3=C(C=C(OC)C(=O)C=C3)C3=NC=CC(=C23)C(OC)=C1OC	TRUE	
UALIB-1360	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC=O	aldehyde 71a	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C14H16O4/c1-5-11-10(7-6-8-15)9-12(16-2)14(18-4)13(11)17-3/h1,8-9H,6-7H2,2-4H3	OLFAEBUPLDFZFY-UHFFFAOYSA-N	OLFAEBUPLDFZFY-UHFFFAOYSA-N	[H]C(=O)CCC1=CC(OC)=C(OC)C(OC)=C1C#C	TRUE	
UALIB-1361	C#CC1=C(OC)C(OC)=C(OC)C=C1CCC(=O)C1=NC=CO1	ketone 72a	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C17H17NO5/c1-5-12-11(6-7-13(19)17-18-8-9-23-17)10-14(20-2)16(22-4)15(12)21-3/h1,8-10H,6-7H2,2-4H3	TUJWGLZXIRXLPE-UHFFFAOYSA-N	TUJWGLZXIRXLPE-UHFFFAOYSA-N	COC1=C(OC)C(OC)=C(C#C)C(CCC(=O)C2=NC=CO2)=C1	TRUE	
UALIB-1362	COC1=C(OC)C(OC)=C2C(=C1)CC[C@H](N(C(C)=O)C(=O)OC(C)(C)C)C1=C2C=CO1	acetamide 39a	Lee, J.C. Total syntheses of colchicine and tropoloisoquinoline alkaloids. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1130327	InChI=1S/C23H29NO7/c1-13(25)24(22(26)31-23(2,3)4)16-9-8-14-12-17(27-5)20(28-6)21(29-7)18(14)15-10-11-30-19(15)16/h10-12,16H,8-9H2,1-7H3/t16-/m0/s1	GBWUTVVPMNSRSY-INIZCTEOSA-N	GBWUTVVPMNSRSY-INIZCTEOSA-N	COC1=C(OC)C(OC)=C2C3=C(OC=C3)[C@H](CCC2=C1)N(C(C)=O)C(=O)OC(C)(C)C	TRUE	
