DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1760	CCOC(=O)[C@@H](O)[C@@H](CCCOC1CCCCO1)O[Si](C(C)C)(C(C)C)C(C)C	45e	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C22H44O6Si/c1-8-25-22(24)21(23)19(12-11-15-27-20-13-9-10-14-26-20)28-29(16(2)3,17(4)5)18(6)7/h16-21,23H,8-15H2,1-7H3/t19-,20?,21+/m1/s1	ZKFJJFVTLMTPDW-TYVLQRECSA-N	ZKFJJFVTLMTPDW-TYVLQRECSA-N	CCOC(=O)[C@@H](O)[C@@H](CCCOC1CCCCO1)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1761	CCOC(=O)[C@H](O)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	45a	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C21H28O4Si/c1-5-24-20(23)19(22)16-25-26(21(2,3)4,17-12-8-6-9-13-17)18-14-10-7-11-15-18/h6-15,19,22H,5,16H2,1-4H3/t19-/m1/s1	AILHYPINRDUNKM-LJQANCHMSA-N	AILHYPINRDUNKM-LJQANCHMSA-N	CCOC(=O)[C@H](O)CO[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C(C)(C)C	TRUE
UALIB-1762	CCOC(=O)C1OC12CCCCC2	73	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C10H16O3/c1-2-12-9(11)8-10(13-8)6-4-3-5-7-10/h8H,2-7H2,1H3	MARQMDSVINDKRX-UHFFFAOYSA-N	MARQMDSVINDKRX-UHFFFAOYSA-N	CCOC(=O)C1OC11CCCCC1	TRUE
UALIB-1763	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](O)C1=CCCCC1	(-)-45g	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C18H30O3/c1-12(2)15-10-9-13(3)11-16(15)21-18(20)17(19)14-7-5-4-6-8-14/h7,12-13,15-17,19H,4-6,8-11H2,1-3H3/t13-,15+,16-,17-/m1/s1	VNVDBDGQQRAKJK-XLNGHYISSA-N	VNVDBDGQQRAKJK-XLNGHYISSA-N	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](O)C1=CCCCC1	TRUE
UALIB-1764	CCOC(=O)[C@@H](OS(C)(=O)=O)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	45k	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C16H34O6SSi/c1-10-20-16(17)15(21-23(9,18)19)14(8)22-24(11(2)3,12(4)5)13(6)7/h11-15H,10H2,1-9H3/t14-,15+/m1/s1	SHZREUWIFGYDIS-CABCVRRESA-N	SHZREUWIFGYDIS-CABCVRRESA-N	CCOC(=O)[C@@H](OS(C)(=O)=O)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1765	CC[C@@]1(O)CC[C@@H]1[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C.CC[C@]1(O)CC[C@@H]1[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	59 (diasteremeric mixture)	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/2C17H36O2Si/c2*1-9-17(18)11-10-16(17)15(8)19-20(12(2)3,13(4)5)14(6)7/h2*12-16,18H,9-11H2,1-8H3/t15-,16-,17+;15-,16-,17-/m11/s1	LSLBPGQNMFGLQB-YXPBJMRFSA-N	LSLBPGQNMFGLQB-YXPBJMRFSA-N	[H][C@@]1(CC[C@@]1(O)CC)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C.[H][C@@]1(CC[C@]1(O)CC)[C@@H](C)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1766	CCOC(=O)[C@@H](O)[C@@H](CCCO)O[Si](C(C)C)(C(C)C)C(C)C	45h	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C17H36O5Si/c1-8-21-17(20)16(19)15(10-9-11-18)22-23(12(2)3,13(4)5)14(6)7/h12-16,18-19H,8-11H2,1-7H3/t15-,16+/m1/s1	ARSZARYAPHZGIN-CVEARBPZSA-N	ARSZARYAPHZGIN-CVEARBPZSA-N	CCOC(=O)[C@@H](O)[C@@H](CCCO)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1767	CCOC(=O)[C@@H](O)[C@@H](CCCOS(C)(=O)=O)O[Si](C(C)C)(C(C)C)C(C)C	45j	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C18H38O7SSi/c1-9-23-18(20)17(19)16(11-10-12-24-26(8,21)22)25-27(13(2)3,14(4)5)15(6)7/h13-17,19H,9-12H2,1-8H3/t16-,17+/m1/s1	OKWMMLOUCWRHIH-SJORKVTESA-N	OKWMMLOUCWRHIH-SJORKVTESA-N	CCOC(=O)[C@@H](O)[C@@H](CCCOS(C)(=O)=O)O[Si](C(C)C)(C(C)C)C(C)C	TRUE
UALIB-1768	O[C@H]1CC[C@H]1C1=CCCCC1	(+)-63	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C10H16O/c11-10-7-6-9(10)8-4-2-1-3-5-8/h4,9-11H,1-3,5-7H2/t9-,10-/m0/s1	VSBABVYAVPWQSM-UWVGGRQHSA-N	VSBABVYAVPWQSM-UWVGGRQHSA-N	[H][C@]1(O)CC[C@H]1C1=CCCCC1	TRUE
UALIB-1769	O[C@@H]1CC[C@H]1C1=CCCCC1	(-)-64	Cho, S.Y. Small ring-mediated organic synthesis. Ph.D. Thesis, The University of Alabama, 2000.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1284604	InChI=1S/C10H16O/c11-10-7-6-9(10)8-4-2-1-3-5-8/h4,9-11H,1-3,5-7H2/t9-,10+/m0/s1	VSBABVYAVPWQSM-VHSXEESVSA-N	VSBABVYAVPWQSM-VHSXEESVSA-N	[H][C@@]1(O)CC[C@H]1C1=CCCCC1	TRUE
