DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1044	CC(C)(C)[Si](C)(C)OC[C@@]12CC(=O)C[C@]3(CCC=C[C@@H]3C1)O2.CC(C)(C)[Si](C)(C)OC[C@]12CC(=O)C[C@@]3(CCC=C[C@H]3C1)O2	(±)-1S,6S,8S,10S-8-tert-Butyldimethylsiloxymethyl-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-en-10-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C18H30O3Si/c2*1-16(2,3)22(4,5)20-13-17-10-14-8-6-7-9-18(14,21-17)12-15(19)11-17/h2*6,8,14H,7,9-13H2,1-5H3/t2*14-,17+,18+/m10/s1	OLEBEQZRRRAROJ-BUSYSWKBSA-N	OLEBEQZRRRAROJ-BUSYSWKBSA-N	[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)CC(=O)C[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)CC(=O)C[C@@]1(CCC=C2)O3	TRUE
UALIB-1045	C=CC[C@@H]1C(=O)C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H]3C=CCC[C@@]13O2.C=CC[C@H]1C(=O)C[C@]2(CO[Si](C)(C)C(C)(C)C)C[C@H]3C=CCC[C@@]31O2	(±)-1S,6S,8S,11R-8-tert-Butyldimethylsiloxymethyl-11-(2-propenyl)-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-en-10-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C21H34O3Si/c2*1-7-10-17-18(22)14-20(15-23-25(5,6)19(2,3)4)13-16-11-8-9-12-21(16,17)24-20/h2*7-8,11,16-17H,1,9-10,12-15H2,2-6H3/t2*16-,17+,20+,21-/m10/s1	PUBQGQATMVRSPQ-WKXQHZALSA-N	PUBQGQATMVRSPQ-WKXQHZALSA-N	[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)CC(=O)[C@H](CC=C)[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)CC(=O)[C@@H](CC=C)[C@@]1(CCC=C2)O3	TRUE
UALIB-1046	C=CC[C@@H]1C(=O)C[C@]2(CO[Si](C)(C)C(C)(C)C)C[C@H]3C=CCC[C@@]31O2.C=CC[C@H]1C(=O)C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H]3C=CCC[C@]31O2	(±)-1R,6S,8S,11S-8-tert-Butyldimethylsiloxymethyl-11-(2-propenyl)-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-en-10-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C21H34O3Si/c2*1-7-10-17-18(22)14-20(15-23-25(5,6)19(2,3)4)13-16-11-8-9-12-21(16,17)24-20/h2*7-8,11,16-17H,1,9-10,12-15H2,2-6H3/t2*16-,17-,20+,21-/m10/s1	PUBQGQATMVRSPQ-QQXWNOMNSA-N	PUBQGQATMVRSPQ-QQXWNOMNSA-N	[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)CC(=O)[C@@H](CC=C)[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)CC(=O)[C@H](CC=C)[C@@]1(CCC=C2)O3	TRUE
UALIB-1047	C=CC[C@@H]1[C@](C#CC2=CC=CC=C2)(O[Si](C)(C)C)C[C@]2(CO[Si](C)(C)C(C)(C)C)C[C@H]3C=CCC[C@@]31O2.C=CC[C@H]1[C@@](C#CC2=CC=CC=C2)(O[Si](C)(C)C)C[C@@]2(CO[Si](C)(C)C(C)(C)C)C[C@@H]3C=CCC[C@]31O2	(±)-1R,6S,8S,10R,11S-8-tert-Butyldimethylsiloxymethyl-10-phenylethynyl-11-(2-propenyl)-10-trimethylsiloxy-12-oxatricyclo[6.3.1.0<1,6>]dodec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C32H48O3Si2/c2*1-10-16-28-31(35-36(5,6)7,22-20-26-17-12-11-13-18-26)24-30(25-33-37(8,9)29(2,3)4)23-27-19-14-15-21-32(27,28)34-30/h2*10-14,17-19,27-28H,1,15-16,21,23-25H2,2-9H3/t2*27-,28-,30+,31-,32-/m10/s1	MHGLJTHTDBRFKC-OVMOPCHISA-N	MHGLJTHTDBRFKC-OVMOPCHISA-N	[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)C[C@](O[Si](C)(C)C)(C#CC4=CC=CC=C4)[C@@H](CC=C)[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)C[C@@](O[Si](C)(C)C)(C#CC4=CC=CC=C4)[C@H](CC=C)[C@@]1(CCC=C2)O3	TRUE
UALIB-1048	C[C@@H]1C[C@@H]2[C@](O[Si](C)(C)C)(C[C@]3(CO[Si](C)(C)C(C)(C)C)C[C@H]4C=CCC[C@@]42O3)/C1=C\C1=CC=CC=C1.C[C@H]1C[C@H]2[C@@](O[Si](C)(C)C)(C[C@@]3(CO[Si](C)(C)C(C)(C)C)C[C@@H]4C=CCC[C@]42O3)/C1=C\C1=CC=CC=C1	(±)-1R,6S,8S,10R,12R,14S-8-tert-Butyldimethylsiloxymethyl-12-methyl-11-(Z-phenylmethenyl)-10-trimethylsiloxy-15-oxatetracyclo[6.6.1.0<1,6>.0<10,14>]pentadec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C32H50O3Si2/c2*1-24-19-28-31-18-14-13-17-26(31)21-30(34-31,23-33-37(8,9)29(2,3)4)22-32(28,35-36(5,6)7)27(24)20-25-15-11-10-12-16-25/h2*10-13,15-17,20,24,26,28H,14,18-19,21-23H2,1-9H3/b2*27-20-/t2*24-,26-,28+,30+,31-,32+/m10/s1	HIGHBJIHMDQWDJ-ZUTRZFNCSA-N	HIGHBJIHMDQWDJ-ZUTRZFNCSA-N	[H][C@@]12C[C@@]3(CO[Si](C)(C)C(C)(C)C)C[C@]4(O[Si](C)(C)C)\C(=C/C5=CC=CC=C5)[C@H](C)C[C@@]4([H])[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CO[Si](C)(C)C(C)(C)C)C[C@@]4(O[Si](C)(C)C)\C(=C/C5=CC=CC=C5)[C@@H](C)C[C@]4([H])[C@@]1(CCC=C2)O3	TRUE
UALIB-1049	C[C@@H]1C[C@@H]2[C@](O[Si](C)(C)C)(C[C@]3(CO)C[C@H]4C=CCC[C@@]42O3)/C1=C\C1=CC=CC=C1.C[C@H]1C[C@H]2[C@@](O[Si](C)(C)C)(C[C@@]3(CO)C[C@@H]4C=CCC[C@]42O3)/C1=C\C1=CC=CC=C1	(±)-1R,6S,8S,10R,12R,14S-8-Hydroxymethyl-12-methyl-11-(Z-phenylmethenyl)-10-trimethylsiloxy-15-oxatetracyclo[6.6.1.0<1,6>.0<10,14>]pentadec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C26H36O3Si/c2*1-19-14-23-25-13-9-8-12-21(25)16-24(18-27,28-25)17-26(23,29-30(2,3)4)22(19)15-20-10-6-5-7-11-20/h2*5-8,10-12,15,19,21,23,27H,9,13-14,16-18H2,1-4H3/b2*22-15-/t2*19-,21-,23+,24+,25-,26+/m10/s1	RCQXLCWUGLWXFL-IJGHTXMNSA-N	RCQXLCWUGLWXFL-IJGHTXMNSA-N	[H][C@@]12C[C@@]3(CO)C[C@]4(O[Si](C)(C)C)\C(=C/C5=CC=CC=C5)[C@H](C)C[C@@]4([H])[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CO)C[C@@]4(O[Si](C)(C)C)\C(=C/C5=CC=CC=C5)[C@@H](C)C[C@]4([H])[C@@]1(CCC=C2)O3	TRUE
UALIB-1050	C[C@@H]1C[C@@H]2[C@](O[Si](C)(C)C)(C[C@]3(CI)C[C@H]4C=CCC[C@@]42O3)/C1=C\C1=CC=CC=C1.C[C@H]1C[C@H]2[C@@](O[Si](C)(C)C)(C[C@@]3(CI)C[C@@H]4C=CCC[C@]42O3)/C1=C\C1=CC=CC=C1	(±)-1R,6S,8S,10R,12R,14S-8-Iodomethyl-12-methyl-11-(Z-phenylmethenyl)-10-trimethylsiloxy-15-oxatetracyclo[6.6.1.0<1,6>.0<10,14>]pentadec-4-ene	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C26H35IO2Si/c2*1-19-14-23-25-13-9-8-12-21(25)16-24(18-27,28-25)17-26(23,29-30(2,3)4)22(19)15-20-10-6-5-7-11-20/h2*5-8,10-12,15,19,21,23H,9,13-14,16-18H2,1-4H3/b2*22-15-/t2*19-,21-,23+,24+,25-,26+/m10/s1	RDJSXQSSNQVQCP-IJGHTXMNSA-N	RDJSXQSSNQVQCP-IJGHTXMNSA-N	[H][C@@]12C[C@@]3(CI)C[C@]4(O[Si](C)(C)C)\C(=C/C5=CC=CC=C5)[C@H](C)C[C@@]4([H])[C@]1(CCC=C2)O3.[H][C@]12C[C@]3(CI)C[C@@]4(O[Si](C)(C)C)\C(=C/C5=CC=CC=C5)[C@@H](C)C[C@]4([H])[C@@]1(CCC=C2)O3	TRUE
UALIB-1051	C=C1C[C@@H]2C=CCC[C@@]2(O)[C@H]2C[C@H](C)/C(=C/C3=CC=CC=C3)[C@]2(O[Si](C)(C)C)C1.C=C1C[C@H]2C=CCC[C@]2(O)[C@@H]2C[C@@H](C)/C(=C/C3=CC=CC=C3)[C@@]2(O[Si](C)(C)C)C1	(±)-1R,2S,4R,6R,10S-8-Methenyl-4-methyl-5-(Z-phenylmethenyl)-6-trimethysiloxytricyclo[8.4.0.0<2,6>]tetradec-11-en-1-ol	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/2C26H36O2Si/c2*1-19-15-22-13-9-10-14-25(22,27)24-16-20(2)23(17-21-11-7-6-8-12-21)26(24,18-19)28-29(3,4)5/h2*6-9,11-13,17,20,22,24,27H,1,10,14-16,18H2,2-5H3/b2*23-17-/t2*20-,22-,24+,25-,26+/m10/s1	RVCMAOIZYXVCAK-OURHICJCSA-N	RVCMAOIZYXVCAK-OURHICJCSA-N	[H][C@]12C[C@H](C)\C(=C\C3=CC=CC=C3)[C@@]1(CC(=C)C[C@]1([H])C=CCC[C@@]21O)O[Si](C)(C)C.[H][C@@]12C[C@@H](C)\C(=C\C3=CC=CC=C3)[C@]1(CC(=C)C[C@@]1([H])C=CCC[C@]21O)O[Si](C)(C)C	TRUE
UALIB-1052	CC(C)(C)[Si](C)(C)OC[C@@]12C=C[C@@](CO[Si](C)(C)C(C)(C)C)(CC(=O)C1)O2	1,5-bis(tert-Butyldimethylsiloxymethyl)-8-oxabicyclo[3.2.1]oct-6-en-3-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/C21H40O4Si2/c1-18(2,3)26(7,8)23-15-20-11-12-21(25-20,14-17(22)13-20)16-24-27(9,10)19(4,5)6/h11-12H,13-16H2,1-10H3/t20-,21+	FIUWXGTVMJBEAF-OYRHEFFESA-N	FIUWXGTVMJBEAF-OYRHEFFESA-N	CC(C)(C)[Si](C)(C)OC[C@@]12CC(=O)C[C@@](CO[Si](C)(C)C(C)(C)C)(O1)C=C2	TRUE
UALIB-1053	CC(=O)OC[C@@]12C=C[C@@](COC(C)=O)(CC(=O)C1)O2	1,5-bis(acetoxymethyl)-8-oxabicyclo[3.2.1]oct-6-en-3-one	Lee, K. A formal synthesis of (+)-phorbol. Ph.D. Thesis, The University of Alabama, 2001.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1305068	InChI=1S/C13H16O6/c1-9(14)17-7-12-3-4-13(19-12,6-11(16)5-12)8-18-10(2)15/h3-4H,5-8H2,1-2H3/t12-,13+	GNYUXGZGGUOZDB-BETUJISGSA-N	GNYUXGZGGUOZDB-BETUJISGSA-N	CC(=O)OC[C@@]12CC(=O)C[C@@](COC(C)=O)(O1)C=C2	TRUE
