DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	THESIS_SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHI_1.05_CHEMAXON_19.27.0	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?	What is the Disagreement? 			Notes
UALIB-1808	BrC1=CC=C(CC2=CC=C(Br)S2)S1	22 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C9H6Br2S2/c10-8-3-1-6(12-8)5-7-2-4-9(11)13-7/h1-4H,5H2	InChI=1S/C9H6Br2S2/c10-8-3-1-6(12-8)5-7-2-4-9(11)13-7/h1-4H,5H2	XTXVRWYTFVOPCF-UHFFFAOYSA-N	XTXVRWYTFVOPCF-UHFFFAOYSA-N	BrC1=CC=C(CC2=CC=C(Br)S2)S1	TRUE				
UALIB-1809	O=CC1=CC=C(CC2=CC=C(C=O)S2)S1	23 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C11H8O2S2/c12-6-10-3-1-8(14-10)5-9-2-4-11(7-13)15-9/h1-4,6-7H,5H2	InChI=1S/C11H8O2S2/c12-6-10-3-1-8(14-10)5-9-2-4-11(7-13)15-9/h1-4,6-7H,5H2	LAFQIDRIGGRMFA-UHFFFAOYSA-N	LAFQIDRIGGRMFA-UHFFFAOYSA-N	O=CC1=CC=C(CC2=CC=C(S2)C=O)S1	TRUE				
UALIB-1810	C1=C\C2=CC=C(CC3=CC=C(/C=C\C4=CC=C(CC5=CC=C/1S5)S4)S3)S2	24 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C22H16S4/c1-2-16-6-10-20(24-16)14-22-12-8-18(26-22)4-3-17-7-11-21(25-17)13-19-9-5-15(1)23-19/h1-12H,13-14H2/b2-1-,4-3-	InChI=1S/C22H16S4/c1-2-16-6-10-20(24-16)14-22-12-8-18(26-22)4-3-17-7-11-21(25-17)13-19-9-5-15(1)23-19/h1-12H,13-14H2/b2-1-,4-3-	RQURZMAKRQSVJI-LOKDLIDFSA-N	RQURZMAKRQSVJI-LOKDLIDFSA-N	C1C2=CC=C(S2)\C=C/C2=CC=C(CC3=CC=C(S3)\C=C/C3=CC=C1S3)S2	TRUE				
UALIB-1811	C1=C2C=CC(=CC3=CC=C(C=CC4=CC=C(C=C5C=CC(=C1)S5)S4)S3)S2	25 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C22H14S4/c1-2-16-6-10-20(24-16)14-22-12-8-18(26-22)4-3-17-7-11-21(25-17)13-19-9-5-15(1)23-19/h1-14H	InChI=1S/C22H14S4/c1-2-16-6-10-20(24-16)14-22-12-8-18(26-22)4-3-17-7-11-21(25-17)13-19-9-5-15(1)23-19/h1-14H/b2-1-,4-3-,15-1-,16-2-,17-3-,18-4+,19-13-,20-14-,21-13-,22-14+	LRTKOUYJKVEMEJ-UHFFFAOYSA-N	LRTKOUYJKVEMEJ-HOKRSXJHSA-N	S1C2=CC=C1C=C1S\C(C=C1)=C/C=C1\SC(C=C1)=CC1=CC=C(S1)\C=C/2	FALSE	Double bond configuration	*		
UALIB-1812	CC(C)CC(C1=CC=C(Br)S1)C1=CC=C(Br)S1	26 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C13H14Br2S2/c1-8(2)7-9(10-3-5-12(14)16-10)11-4-6-13(15)17-11/h3-6,8-9H,7H2,1-2H3	InChI=1S/C13H14Br2S2/c1-8(2)7-9(10-3-5-12(14)16-10)11-4-6-13(15)17-11/h3-6,8-9H,7H2,1-2H3	VBWCMDBTJZXGMT-UHFFFAOYSA-N	VBWCMDBTJZXGMT-UHFFFAOYSA-N	CC(C)CC(C1=CC=C(Br)S1)C1=CC=C(Br)S1	TRUE				
UALIB-1813	CC(C)CC(C1=CC=C(C=O)S1)C1=CC=C(C=O)S1	27 (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C15H16O2S2/c1-10(2)7-13(14-5-3-11(8-16)18-14)15-6-4-12(9-17)19-15/h3-6,8-10,13H,7H2,1-2H3	InChI=1S/C15H16O2S2/c1-10(2)7-13(14-5-3-11(8-16)18-14)15-6-4-12(9-17)19-15/h3-6,8-10,13H,7H2,1-2H3	OKRMPVZLLGUKAG-UHFFFAOYSA-N	OKRMPVZLLGUKAG-UHFFFAOYSA-N	CC(C)CC(C1=CC=C(S1)C=O)C1=CC=C(S1)C=O	TRUE				
UALIB-1814	CC(C)C[C@H]1C2=CC=C(/C=C\C3=CC=C(S3)[C@@H](CC(C)C)C3=CC=C(/C=C\C4=CC=C1S4)S3)S2.CC(C)C[C@H]1C2=CC=C(/C=C\C3=CC=C(S3)[C@H](CC(C)C)C3=CC=C(/C=C\C4=CC=C1S4)S3)S2	28/29 (diastereomeric mixture) (ch.2)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/2C30H32S4/c2*1-19(2)17-25-27-13-9-21(31-27)5-7-23-11-15-29(33-23)26(18-20(3)4)30-16-12-24(34-30)8-6-22-10-14-28(25)32-22/h2*5-16,19-20,25-26H,17-18H2,1-4H3/b2*7-5-,8-6-/t25-,26+;25-,26-	InChI=1S/2C30H32S4/c2*1-19(2)17-25-27-13-9-21(31-27)5-7-23-11-15-29(33-23)26(18-20(3)4)30-16-12-24(34-30)8-6-22-10-14-28(25)32-22/h2*5-16,19-20,25-26H,17-18H2,1-4H3/b2*7-5-,8-6-/t25-,26+;25-,26-	RFXGLMRQUWYZIY-UZVFCIBJSA-N	RFXGLMRQUWYZIY-UZVFCIBJSA-N	CC(C)C[C@H]1C2=CC=C(S2)\C=C/C2=CC=C(S2)[C@@H](CC(C)C)C2=CC=C(S2)\C=C/C2=CC=C1S2.CC(C)C[C@H]1C2=CC=C(S2)\C=C/C2=CC=C(S2)[C@H](CC(C)C)C2=CC=C(S2)\C=C/C2=CC=C1S2	TRUE				
UALIB-1815	CN1C(C2=CC=CS2)=CC=C1C1=CC=CS1	2 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C13H11NS2/c1-14-10(12-4-2-8-15-12)6-7-11(14)13-5-3-9-16-13/h2-9H,1H3	InChI=1S/C13H11NS2/c1-14-10(12-4-2-8-15-12)6-7-11(14)13-5-3-9-16-13/h2-9H,1H3	PGFNUASIFPKIAM-UHFFFAOYSA-N	PGFNUASIFPKIAM-UHFFFAOYSA-N	CN1C(=CC=C1C1=CC=CS1)C1=CC=CS1	TRUE				
UALIB-1816	CN1C(C2=CC=C(C=O)S2)=CC=C1C1=CC=C(C=O)S1	3 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C15H11NO2S2/c1-16-12(14-6-2-10(8-17)19-14)4-5-13(16)15-7-3-11(9-18)20-15/h2-9H,1H3	InChI=1S/C15H11NO2S2/c1-16-12(14-6-2-10(8-17)19-14)4-5-13(16)15-7-3-11(9-18)20-15/h2-9H,1H3	BNQQILJZBBYIOV-UHFFFAOYSA-N	BNQQILJZBBYIOV-UHFFFAOYSA-N	CN1C(=CC=C1C1=CC=C(S1)C=O)C1=CC=C(S1)C=O	TRUE				
UALIB-1817	CN1C2=CC=C1C1=CC=C(/C=C\C3=CC=C(S3)C3=CC=C(C4=CC=C(/C=C\C5=CC=C2S5)S4)N3C)S1	4 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C30H22N2S4/c1-31-23-11-12-24(31)28-16-8-20(34-28)4-6-22-10-18-30(36-22)26-14-13-25(32(26)2)29-17-9-21(35-29)5-3-19-7-15-27(23)33-19/h3-18H,1-2H3/b5-3-,6-4-,19-3?,20-4?,21-5?,22-6?,27-23?,28-24?,29-25?,30-26?	InChI=1S/C30H22N2S4/c1-31-23-11-12-24(31)28-16-8-20(34-28)4-6-22-10-18-30(36-22)26-14-13-25(32(26)2)29-17-9-21(35-29)5-3-19-7-15-27(23)33-19/h3-18H,1-2H3/b5-3-,6-4-,19-3-,20-4-,21-5-,22-6+,27-23-,28-24-,29-25-,30-26+	HZZGBUFFRCXFAW-FOEVXDSGSA-N	HZZGBUFFRCXFAW-ZHJSWXAHSA-N	CN1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(N1C)C1=CC=C(S1)\C=C/C1=CC=C2S1	FALSE	Double bond configuration			
UALIB-1818	CCCCCCCCCCCCN1C(C2=CC=CS2)=CC=C1C1=CC=CS1	5 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C24H33NS2/c1-2-3-4-5-6-7-8-9-10-11-18-25-21(23-14-12-19-26-23)16-17-22(25)24-15-13-20-27-24/h12-17,19-20H,2-11,18H2,1H3	InChI=1S/C24H33NS2/c1-2-3-4-5-6-7-8-9-10-11-18-25-21(23-14-12-19-26-23)16-17-22(25)24-15-13-20-27-24/h12-17,19-20H,2-11,18H2,1H3	SDIALVWFWRNZAG-UHFFFAOYSA-N	SDIALVWFWRNZAG-UHFFFAOYSA-N	CCCCCCCCCCCCN1C(=CC=C1C1=CC=CS1)C1=CC=CS1	TRUE				
UALIB-1819	CCCCCCCCCCCCN1C(C2=CC=C(C=O)S2)=CC=C1C1=CC=C(C=O)S1	6 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C26H33NO2S2/c1-2-3-4-5-6-7-8-9-10-11-18-27-23(25-16-12-21(19-28)30-25)14-15-24(27)26-17-13-22(20-29)31-26/h12-17,19-20H,2-11,18H2,1H3	InChI=1S/C26H33NO2S2/c1-2-3-4-5-6-7-8-9-10-11-18-27-23(25-16-12-21(19-28)30-25)14-15-24(27)26-17-13-22(20-29)31-26/h12-17,19-20H,2-11,18H2,1H3	NMTOZNJXHVZWDU-UHFFFAOYSA-N	NMTOZNJXHVZWDU-UHFFFAOYSA-N	CCCCCCCCCCCCN1C(=CC=C1C1=CC=C(S1)C=O)C1=CC=C(S1)C=O	TRUE				
UALIB-1820	CCCCCCCCCCCCN1C2=CC=C1C1=CC=C(/C=C\C3=CC=C(S3)C3=CC=C(C4=CC=C(/C=C\C5=CC=C2S5)S4)N3CCCCCCCCCCCC)S1	7 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C52H66N2S4/c1-3-5-7-9-11-13-15-17-19-21-39-53-45-31-32-46(53)50-36-28-42(56-50)24-26-44-30-38-52(58-44)48-34-33-47(54(48)40-22-20-18-16-14-12-10-8-6-4-2)51-37-29-43(57-51)25-23-41-27-35-49(45)55-41/h23-38H,3-22,39-40H2,1-2H3/b25-23-,26-24-,41-23?,42-24?,43-25?,44-26?,49-45?,50-46?,51-47?,52-48?	InChI=1S/C52H66N2S4/c1-3-5-7-9-11-13-15-17-19-21-39-53-45-31-32-46(53)50-36-28-42(56-50)24-26-44-30-38-52(58-44)48-34-33-47(54(48)40-22-20-18-16-14-12-10-8-6-4-2)51-37-29-43(57-51)25-23-41-27-35-49(45)55-41/h23-38H,3-22,39-40H2,1-2H3/b25-23-,26-24-,41-23-,42-24-,43-25-,44-26+,49-45-,50-46-,51-47-,52-48+	RUMGYPYHOMWNOG-JUWPDIIISA-N	RUMGYPYHOMWNOG-ACNMRASRSA-N	CCCCCCCCCCCCN1C2=CC=C1C1=CC=C(S1)\C=C/C1=CC=C(S1)C1=CC=C(N1CCCCCCCCCCCC)C1=CC=C(S1)\C=C/C1=CC=C2S1	FALSE	Double bond configuration			
UALIB-1821	C1=CSC(C2=CC=C(C3=CC=CS3)[NH]2)=C1	8 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C12H9NS2/c1-3-11(14-7-1)9-5-6-10(13-9)12-4-2-8-15-12/h1-8,13H	InChI=1S/C12H9NS2/c1-3-11(14-7-1)9-5-6-10(13-9)12-4-2-8-15-12/h1-8,13H	REHRCHHNCOTPBV-UHFFFAOYSA-N	REHRCHHNCOTPBV-UHFFFAOYSA-N	N1C(=CC=C1C1=CC=CS1)C1=CC=CS1	TRUE				
UALIB-1822	O=CC1=CC=C(C2=CC=C(C3=CC=C(C=O)S3)[NH]2)S1	9 (ch.3)	Hu, Z. Part 1, Thiophene derived annulenes; Part 2, Synthesis and Diels-Alder reactions of monothiono-n-nethylmaleimide. Ph.D. Thesis, The University of Alabama, 1994.	http://library.ua.edu/vwebv/holdingsInfo?bibId=821644	InChI=1S/C14H9NO2S2/c16-7-9-1-5-13(18-9)11-3-4-12(15-11)14-6-2-10(8-17)19-14/h1-8,15H	InChI=1S/C14H9NO2S2/c16-7-9-1-5-13(18-9)11-3-4-12(15-11)14-6-2-10(8-17)19-14/h1-8,15H	SCXRMAVFUJHXDD-UHFFFAOYSA-N	SCXRMAVFUJHXDD-UHFFFAOYSA-N	O=CC1=CC=C(S1)C1=CC=C(N1)C1=CC=C(S1)C=O	TRUE				
