DATASOURCE_REGID	SMILES_RDKIT_2019.09.2	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHI_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_RDKIT_2019.09.2	INCHIKEY_1.05_CHEMAXON_19.27.0	SMILES_CHEMAXON_19.27.0	INCHIKEYS MATCH?
UALIB-1212	COC1=CC(OC)=CC(C/C=C/[Si](C)(C)C)=C1	((E)-3-(3,5-Dimethoxyphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C14H22O2Si/c1-15-13-9-12(10-14(11-13)16-2)7-6-8-17(3,4)5/h6,8-11H,7H2,1-5H3/b8-6+	LQVWEUNGQDJSDM-SOFGYWHQSA-N	LQVWEUNGQDJSDM-SOFGYWHQSA-N	COC1=CC(OC)=CC(C\C=C\[Si](C)(C)C)=C1	TRUE
UALIB-1213	COC1=CC(C/C=C/[Si](C)(C)C)=CC(C)=C1	((E)-3-(3-Methoxy-5-methylphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C14H22OSi/c1-12-9-13(11-14(10-12)15-2)7-6-8-16(3,4)5/h6,8-11H,7H2,1-5H3/b8-6+	BEFWXEPXQVLRAV-SOFGYWHQSA-N	BEFWXEPXQVLRAV-SOFGYWHQSA-N	COC1=CC(C\C=C\[Si](C)(C)C)=CC(C)=C1	TRUE
UALIB-1214	CCCCCCCCC1=C(OC)C=CC=C1C/C=C/[Si](C)(C)C	((E)-3-(3-Methoxy-2-octylphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C21H36OSi/c1-6-7-8-9-10-11-16-20-19(14-12-17-21(20)22-2)15-13-18-23(3,4)5/h12-14,17-18H,6-11,15-16H2,1-5H3/b18-13+	GWWGQYVUFFEYKT-QGOAFFKASA-N	GWWGQYVUFFEYKT-QGOAFFKASA-N	CCCCCCCCC1=C(OC)C=CC=C1C\C=C\[Si](C)(C)C	TRUE
UALIB-1215	COC1=C(N2CCCCC2)C(C/C=C/[Si](C)(C)C)=CC=C1	1-(2-Methoxy-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C18H29NOSi/c1-20-17-12-8-10-16(11-9-15-21(2,3)4)18(17)19-13-6-5-7-14-19/h8-10,12,15H,5-7,11,13-14H2,1-4H3/b15-9+	VDQZAULYBKMLCI-OQLLNIDSSA-N	VDQZAULYBKMLCI-OQLLNIDSSA-N	COC1=C(N2CCCCC2)C(C\C=C\[Si](C)(C)C)=CC=C1	TRUE
UALIB-1216	COC1=CC(OC)=C(N2CCCCC2)C(C/C=C/[Si](C)(C)C)=C1	1-(2,4-Dimethoxy-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C19H31NO2Si/c1-21-17-14-16(10-9-13-23(3,4)5)19(18(15-17)22-2)20-11-7-6-8-12-20/h9,13-15H,6-8,10-12H2,1-5H3/b13-9+	URFCVMJEQQKGLH-UKTHLTGXSA-N	URFCVMJEQQKGLH-UKTHLTGXSA-N	COC1=CC(OC)=C(N2CCCCC2)C(C\C=C\[Si](C)(C)C)=C1	TRUE
UALIB-1217	COC1=C(N2CCCCC2)C(C/C=C/[Si](C)(C)C)=CC(C)=C1	1-(2-Methoxy-4-methyl-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C19H31NOSi/c1-16-14-17(10-9-13-22(3,4)5)19(18(15-16)21-2)20-11-7-6-8-12-20/h9,13-15H,6-8,10-12H2,1-5H3/b13-9+	YBAVQTVWAXCJSL-UKTHLTGXSA-N	YBAVQTVWAXCJSL-UKTHLTGXSA-N	COC1=C(N2CCCCC2)C(C\C=C\[Si](C)(C)C)=CC(C)=C1	TRUE
UALIB-1218	C[Si](C)(C)/C=C/CC1=CC=CC=C1N1CCCCC1	1-(2-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C17H27NSi/c1-19(2,3)15-9-11-16-10-5-6-12-17(16)18-13-7-4-8-14-18/h5-6,9-10,12,15H,4,7-8,11,13-14H2,1-3H3/b15-9+	ZMTOBKNSIANAOS-OQLLNIDSSA-N	ZMTOBKNSIANAOS-OQLLNIDSSA-N	C[Si](C)(C)\C=C\CC1=CC=CC=C1N1CCCCC1	TRUE
UALIB-1219	C[Si](C)(C)/C=C/CC1=CC=CC(F)=C1N1CCCCC1	1-(2-Fluoro-6-((E)-3-(trimethylsilyl)allyl)phenyl)piperidine	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C17H26FNSi/c1-20(2,3)14-8-10-15-9-7-11-16(18)17(15)19-12-5-4-6-13-19/h7-9,11,14H,4-6,10,12-13H2,1-3H3/b14-8+	VTYKUTMUPRRYDK-RIYZIHGNSA-N	VTYKUTMUPRRYDK-RIYZIHGNSA-N	C[Si](C)(C)\C=C\CC1=CC=CC(F)=C1N1CCCCC1	TRUE
UALIB-1220	C=CCC1=C(OC)C=CC=C1C/C=C/[Si](C)(C)C	((E)-3-(2-Allyl-3-methoxyphenyl)propenyl-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C16H24OSi/c1-6-9-15-14(10-7-12-16(15)17-2)11-8-13-18(3,4)5/h6-8,10,12-13H,1,9,11H2,2-5H3/b13-8+	IKRMVJADHKDWEH-MDWZMJQESA-N	IKRMVJADHKDWEH-MDWZMJQESA-N	COC1=C(CC=C)C(C\C=C\[Si](C)(C)C)=CC=C1	TRUE
UALIB-1221	C=CCC1=C(OC)C=C(OC)C=C1C/C=C/[Si](C)(C)C	((E)-3-(2-Allyl-3,5-dimethoxyphenyl)prop-1-enyl)trimethylsilane	Ganta, A. New applications of Arynes and Wynberg lactone in synthesis. Ph.D. Thesis, The University of Alabama, 2009.	http://library.ua.edu/vwebv/holdingsInfo?bibId=2764133	InChI=1S/C17H26O2Si/c1-7-9-16-14(10-8-11-20(4,5)6)12-15(18-2)13-17(16)19-3/h7-8,11-13H,1,9-10H2,2-6H3/b11-8+	WOLZQDJZDDMKGU-DHZHZOJOSA-N	WOLZQDJZDDMKGU-DHZHZOJOSA-N	COC1=CC(OC)=C(CC=C)C(C\C=C\[Si](C)(C)C)=C1	TRUE
