SMILES_KnowItAll_2018,DATASOURCE_REGID,SUBSTANCE_COMMENT,SUBSTANCE_URL,InChI_1.05_KnowItAll 2018
C1[C@@]2(C([C@]([C@]3([C@@]1(OB(O3)C=C)[H])C)(C2)[H])(C)C)[H],UALIB-1997,"Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=851312,"InChI=1S/C12H19BO2/c1-5-13-14-10-7-8-6-9(11(8,2)3)12(10,4)15-13/h5,8-10H,1,6-7H2,2-4H3/t8-,9-,10-,12+/m1/s1"
C1[C@@]2(C([C@]([C@]3([C@@]1(OB(O3)C1C\C(=N/O1)c1ccccc1)[H])C)(C2)[H])(C)C)[H],UALIB-1998,"Zong, K. The 1,3-dipolar cycloaddition of nitrile oxides to vinylboronic esters and asymmetric approaches. Ph.D. Thesis, The University of Alabama, 1995.",http://library.ua.edu/vwebv/holdingsInfo?bibId=851312,"InChI=1S/C19H24BNO3/c1-18(2)13-9-15(18)19(3)16(10-13)22-20(24-19)17-11-14(21-23-17)12-7-5-4-6-8-12/h4-8,13,15-17H,9-11H2,1-3H3/t13-,15-,16-,17?,19+/m1/s1"
