SMILES_KnowItAll_2018,DATASOURCE_REGID,SUBSTANCE_COMMENT,SUBSTANCE_URL
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/I)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@]([C@@](C#C[Si](C)(C)C)(O)[H])(O)[H])[H],UALIB-983,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]34[C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N4CCC\C=C/C\C=C/C#C[C@]([C@@]3(O)[H])(O)[H])=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[H],UALIB-984,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])C=O)[H],UALIB-985,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C=C)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C=C)(O)[H])[H],UALIB-986,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C=C)(OC(=O)C)[H])[H],UALIB-987,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H],UALIB-988,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCO)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H],UALIB-989,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/[Sn](CCCC)(CCCC)CCCC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C[Si](C)(C)C)(OC(=O)C)[H])(OC(=O)C)[H])[H],UALIB-990,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCC\C=C/C\C=C/I)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@]([C@](C#C)(O)[H])(O)[H])[H],UALIB-991,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
C1[C@]2([C@@]34[C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N4CCC\C=C/C\C=C/C#C[C@@]([C@]3(O)[H])(O)[H])=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[H],UALIB-992,"Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.",http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657
