SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_SYNONYM	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI 1.05 KnowItAll 2018	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CCO)[H]	UALIB-970	alcohol 66	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	XHRDNPBOKGLUAN-ZNWCQBQASA-N	InChI=1S/C31H50N2O6Si/c1-29(2,3)39-28(36)32-16-14-25-24-18-22(20-38-40(8,9)30(4,5)6)26(32)31(25,15-17-34)33(27(24)35)19-21-10-12-23(37-7)13-11-21/h10-13,22,24-26,34H,14-20H2,1-9H3/t22-,24?,25?,26?,31-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])\C=C\O[Si](C)(C)C(C)(C)C)[H]	UALIB-971	silyl enol ether 62	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	RPMRJMNLSREHHU-DFZKCEJHSA-N	InChI=1S/C37H62N2O6Si2/c1-34(2,3)45-33(41)38-21-19-30-29-23-27(25-44-47(13,14)36(7,8)9)31(38)37(30,20-22-43-46(11,12)35(4,5)6)39(32(29)40)24-26-15-17-28(42-10)18-16-26/h15-18,20,22,27,29-31H,19,21,23-25H2,1-14H3/b22-20+/t27-,29?,30?,31?,37-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C(O[Si](C)(C)C(C)(C)C)OC(c1cc(ccc1)Cl)=O)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C(O[Si](C)(C)C(C)(C)C)OC(c1cc(ccc1)Cl)=O)(O)[H])[H]	UALIB-972	71a and 71b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	ZFXYTLYFECRQKZ-PPPABDCYSA-N	InChI=1S/2C44H67ClN2O9Si2/c2*1-41(2,3)55-40(51)46-23-22-34-33-25-30(27-53-57(11,12)42(4,5)6)35(46)44(34,47(37(33)49)26-28-18-20-32(52-10)21-19-28)36(48)39(56-58(13,14)43(7,8)9)54-38(50)29-16-15-17-31(45)24-29/h2*15-21,24,30,33-36,39,48H,22-23,25-27H2,1-14H3/t30-,33?,34?,35?,36+,39?,44-;30-,33?,34+,35-,36+,39?,44-/m00/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](O)(CO)[H])[H]	UALIB-973	diol 70a	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHZDGZMKQSDMGD-RKCAKDHBSA-N	InChI=1S/C31H50N2O7Si/c1-29(2,3)40-28(37)32-15-14-24-23-16-21(19-39-41(8,9)30(4,5)6)26(32)31(24,25(35)18-34)33(27(23)36)17-20-10-12-22(38-7)13-11-20/h10-13,21,23-26,34-35H,14-19H2,1-9H3/t21-,23?,24+,25+,26-,31+/m0/s1	unclear why the IK is the same as 974. SMILES are different. Currently investigating
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3Cc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](O)(CO)[H])[H]	UALIB-974	diol 70b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	MHZDGZMKQSDMGD-RKCAKDHBSA-N	InChI=1S/C31H50N2O7Si/c1-29(2,3)40-28(37)32-15-14-24-23-16-21(19-39-41(8,9)30(4,5)6)26(32)31(24,25(35)18-34)33(27(23)36)17-20-10-12-22(38-7)13-11-20/h10-13,21,23-26,34-35H,14-19H2,1-9H3/t21-,23?,24+,25+,26-,31+/m0/s1	
C1[C@]2(\C([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(NCCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])=C\C(=O)OCC)[H]	UALIB-975	87	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	DWJSXLMTWKJYLL-ZZTDJMJKSA-N	InChI=1S/C37H60N2O8Si/c1-11-45-32(40)23-30-29-18-20-39(35(42)47-36(2,3)4)33(30)27(25-46-48(9,10)37(5,6)7)22-31(29)34(41)38-19-12-13-21-44-24-26-14-16-28(43-8)17-15-26/h14-17,23,27,29,31,33H,11-13,18-22,24-25H2,1-10H3,(H,38,41)/b30-23-/t27-,29-,31?,33-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CC(=O)OCC)[H]	UALIB-976	88	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	FZXBXNCRWDTGRG-QGCLWDPNSA-N	InChI=1S/C37H60N2O8Si/c1-11-45-31(40)23-37-30-18-20-38(34(42)47-35(2,3)4)32(37)27(25-46-48(9,10)36(5,6)7)22-29(30)33(41)39(37)19-12-13-21-44-24-26-14-16-28(43-8)17-15-26/h14-17,27,29-30,32H,11-13,18-25H2,1-10H3/t27-,29?,30+,32-,37-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])CCO)[H]	UALIB-977	alcohol 89	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	BIJQKNUPJWSDGP-SHLIVEOUSA-N	InChI=1S/C35H58N2O7Si/c1-33(2,3)44-32(40)36-19-16-29-28-22-26(24-43-45(8,9)34(4,5)6)30(36)35(29,17-20-38)37(31(28)39)18-10-11-21-42-23-25-12-14-27(41-7)15-13-25/h12-15,26,28-30,38H,10-11,16-24H2,1-9H3/t26-,28?,29+,30-,35-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCOCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])\C=C\O[Si](C)(C)C(C)(C)C)[H]	UALIB-978	silyl enol ether 90	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	UGERVEXSLWQXQK-BJSMMKKSSA-N	InChI=1S/C41H70N2O7Si2/c1-38(2,3)50-37(45)42-24-21-34-33-27-31(29-49-52(13,14)40(7,8)9)35(42)41(34,22-26-48-51(11,12)39(4,5)6)43(36(33)44)23-15-16-25-47-28-30-17-19-32(46-10)20-18-30/h17-20,22,26,31,33-35H,15-16,21,23-25,27-29H2,1-14H3/b26-22+/t31-,33?,34+,35-,41-/m0/s1	
C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@](C(O[Si](C)(C)C(C)(C)C)OC(c1cccc(c1)Cl)=O)(O)[H])[H].C1[C@]2([C@@]3([C@](N(C1)C(=O)OC(C)(C)C)([C@@](CC2C(N3CCCCCc1ccc(cc1)OC)=O)(CO[Si](C)(C)C(C)(C)C)[H])[H])[C@@](C(O[Si](C)(C)C(C)(C)C)OC(c1cccc(c1)Cl)=O)(O)[H])[H]	UALIB-979	91a and 91b	Lee, H.I. Synthetic Studies Toward Sarain A. Ph.D. Thesis, The University of Alabama, 2002.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1621657	GOGPVAQGZWBXJB-QPPYDHDWSA-N	InChI=1S/2C48H75ClN2O9Si2/c2*1-45(2,3)59-44(55)50-28-26-38-37-30-34(31-57-61(11,12)46(4,5)6)39(50)48(38,51(41(37)53)27-17-15-16-19-32-22-24-36(56-10)25-23-32)40(52)43(60-62(13,14)47(7,8)9)58-42(54)33-20-18-21-35(49)29-33/h2*18,20-25,29,34,37-40,43,52H,15-17,19,26-28,30-31H2,1-14H3/t34-,37?,38?,39+,40+,43?,48-;34-,37?,38+,39-,40+,43?,48-/m00/s1	
