SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI_1.05_KnowItAll 2018	Notes
[C@]12(\C=C/[C@]([C@@]3(C([C@@]2(C=C(C3)C(=O)C)[H])=O)[H])(C11CC1)[H])[H]	UALIB-2833	135	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	XZVSLSXMYZBZJA-FVCCEPFGSA-N	InChI=1S/C15H16O2/c1-8(16)9-6-10-12-2-3-13(15(12)4-5-15)11(7-9)14(10)17/h2-3,6,10-13H,4-5,7H2,1H3/t10-,11-,12+,13-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
[C@]12(\C=C/[C@]([C@@]3(C([C@@]2([C@@]2(C(C3)=C(CC[C@@]2(C(=O)OCC)[H])OCC)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2834	133	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	DCXYMCMQVDKKAA-QHXHJIJASA-N	InChI=1S/C22H28O4/c1-3-25-17-8-5-12(21(24)26-4-2)18-14(17)11-13-15-6-7-16(19(18)20(13)23)22(15)9-10-22/h6-7,12-13,15-16,18-19H,3-5,8-11H2,1-2H3/t12-,13+,15+,16-,18-,19-/m0/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
[C@]12(\C=C/[C@]([C@@]3(C([C@@]2([C@@]2([C@]4(C3)[C@@](CC[C@@]2(C(=O)OCC)[H])(OCC)C4)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2835	134	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	AIHQYTDNLUDNES-CJMWMMLMSA-N	InChI=1S/C23H30O4/c1-3-26-20(25)13-7-8-23(27-4-2)12-22(23)11-14-15-5-6-16(21(15)9-10-21)17(18(13)22)19(14)24/h5-6,13-18H,3-4,7-12H2,1-2H3/t13-,14+,15+,16-,17-,18+,22+,23-/m0/s1	
[C@@]12(\C=C/C3([C@@]2([C@@]2(C[C@]1(C(\C=C/2)=O)[H])C(=O)C)[H])CC3)[H]	UALIB-2836	136	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	MDHFFEJLKPOCRC-MDHDOXDCSA-N	InChI=1S/C15H16O2/c1-9(16)15-5-3-12(17)11(8-15)10-2-4-14(6-7-14)13(10)15/h2-5,10-11,13H,6-8H2,1H3/t10-,11+,13+,15-/m0/s1	
[C@@]12(\C=C/[C@@]([C@@]3(CC(C[C@]2([C@@]3(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])=O)[H])(C11CC1)[H])[H]	UALIB-2837	138	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	QTZPTUXXPAHKIN-JCUFNKLESA-N	InChI=1S/C22H36O2Si/c1-13(2)25(14(3)4,15(5)6)24-21-17-11-16(23)12-18(21)20-8-7-19(17)22(20)9-10-22/h7-8,13-15,17-21H,9-12H2,1-6H3/t17-,18+,19-,20+,21+	
[C@]12(\C=C/[C@]([C@@]3([C@@]([C@@]2(C=C(C3)OS(=O)(=O)C(F)(F)F)[H])(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])(C11CC1)[H])[H]	UALIB-2838	139	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	WAIPUPGKJXMIEV-YMQHIKHWSA-N	InChI=1S/C23H35F3O4SSi/c1-13(2)32(14(3)4,15(5)6)30-21-17-11-16(29-31(27,28)23(24,25)26)12-18(21)20-8-7-19(17)22(20)9-10-22/h7-8,11,13-15,17-21H,9-10,12H2,1-6H3/t17-,18-,19+,20-,21-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
[C@]12(\C=C/[C@]([C@@]3([C@@]([C@@]2(C=C(C3)C(=O)C)[H])(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])(C11CC1)[H])[H]	UALIB-2839	140	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	UYLRRFUINJAQPI-XNBWIAOKSA-N	InChI=1S/C24H38O2Si/c1-14(2)27(15(3)4,16(5)6)26-23-19-12-18(17(7)25)13-20(23)22-9-8-21(19)24(22)10-11-24/h8-9,12,14-16,19-23H,10-11,13H2,1-7H3/t19-,20-,21+,22-,23-/m1/s1	
[C@]12(\C=C/[C@]([C@@]3([C@@]([C@@]2([C@@]2(C(C3)=C(CC[C@@]2(C(=O)OCC)[H])O[Si](C)(C)C(C)(C)C)[H])[H])(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])(C11CC1)[H])[H]	UALIB-2840	141	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	VFBFPCWYHRUAHK-QPMQFFIHSA-N	InChI=1S/C35H60O4Si2/c1-13-37-33(36)24-14-17-29(38-40(11,12)34(8,9)10)26-20-25-27-15-16-28(35(27)18-19-35)31(30(24)26)32(25)39-41(21(2)3,22(4)5)23(6)7/h15-16,21-25,27-28,30-32H,13-14,17-20H2,1-12H3/t24-,25+,27+,28-,30-,31-,32-/m0/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
[C@@]12([C@@]([C@]3([C@@]4([C@@](O[Si](C(C)C)(C(C)C)C(C)C)([C@@]([C@@]2(C32CC2)[H])(CC=2[C@@]4([C@](CCC2O[Si](C)(C)C(C)(C)C)(C(=O)OCC)[H])[H])[H])[H])[H])[H])(C1)[H])[H]	UALIB-2841	142	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	ZIKIJFCZGJHMKF-MSLSEICUSA-N	InChI=1S/C36H62O4Si2/c1-13-38-34(37)23-14-15-28(39-41(11,12)35(8,9)10)26-19-27-31-24-18-25(24)32(36(31)16-17-36)30(29(23)26)33(27)40-42(20(2)3,21(4)5)22(6)7/h20-25,27,29-33H,13-19H2,1-12H3/t23-,24+,25-,27+,29-,30+,31+,32-,33-/m0/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
[C@@]12(\C=C/[C@@]([C@@]3(C[C@@](C[C@]2([C@@]3(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])(O[Si](C)(C)C(C)(C)C)[H])[H])(C11CC1)[H])[H]	UALIB-2842	137	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	LSUCQQPFYSFSPZ-OAUNFZPFSA-N	InChI=1S/C28H52O2Si2/c1-18(2)32(19(3)4,20(5)6)30-26-22-16-21(29-31(10,11)27(7,8)9)17-23(26)25-13-12-24(22)28(25)14-15-28/h12-13,18-26H,14-17H2,1-11H3/t21-,22-,23+,24-,25+,26+	
C=1[C@]2([C@]3([C@]([C@@]([C@@](C22CC2)([C@@](C1Cl)(C)[H])[H])(C[C@](C3)(O[Si](C)(C)C(C)(C)C)[H])[H])(O[Si](C(C)C)(C(C)C)C(C)C)[H])[H])[H]	UALIB-2843	144	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	SNBMFCWQFYJYGB-DCUKCDECSA-N	InChI=1S/C30H55ClO2Si2/c1-18(2)35(19(3)4,20(5)6)33-28-23-15-22(32-34(11,12)29(8,9)10)16-24(28)27-21(7)26(31)17-25(23)30(27)13-14-30/h17-25,27-28H,13-16H2,1-12H3/t21-,22+,23+,24-,25+,27+,28-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@]([C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[H])(CC1=O)[H])[H])[H])[H]	UALIB-2844	145	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	CARWUYCVXAQKGE-NMEXLMDVSA-N	InChI=1S/C24H39ClO2Si/c1-13(2)28(14(3)4,15(5)6)27-23-18-10-17(26)11-19(23)22-16(7)21(25)12-20(18)24(22)8-9-24/h12-16,18-20,22-23H,8-11H2,1-7H3/t16-,18+,19-,20+,22+,23-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@]([C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[H])(C=C1OS(=O)(=O)C(F)(F)F)[H])[H])[H])[H].C=1[C@@]2([C@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@]([C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[H])(CC1OS(=O)(=O)C(F)(F)F)[H])[H])[H])[H]	UALIB-2845	146 and 147	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	XXDBFAVXOWECPQ-IPEGAWPDSA-N	InChI=1S/2C25H38ClF3O4SSi/c2*1-13(2)35(14(3)4,15(5)6)33-23-18-10-17(32-34(30,31)25(27,28)29)11-19(23)22-16(7)21(26)12-20(18)24(22)8-9-24/h11-16,18-20,22-23H,8-10H2,1-7H3;10,12-16,18-20,22-23H,8-9,11H2,1-7H3/t2*16-,18-,19-,20+,22+,23-/m11/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@]([C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[H])(C=C1C(C)=O)[H])[H])[H])[H].C=1[C@@]2([C@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@]([C@]2(O[Si](C(C)C)(C(C)C)C(C)C)[H])(CC1C(C)=O)[H])[H])[H])[H]	UALIB-2846	148 and 149	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	LSGOGHMFPBQHQO-FPMAVVLVSA-N	InChI=1S/2C26H41ClO2Si/c2*1-14(2)30(15(3)4,16(5)6)29-25-20-11-19(18(8)28)12-21(25)24-17(7)23(27)13-22(20)26(24)9-10-26/h12-17,20-22,24-25H,9-11H2,1-8H3;11,13-17,20-22,24-25H,9-10,12H2,1-8H3/t2*17-,20-,21-,22+,24+,25-/m11/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
C1[C@@]2([C@]3(C4(CC4)[C@@](C=C([C@]3(C)[H])Cl)([C@@]([C@]2(O)[H])(C=C1C(C)=O)[H])[H])[H])[H]	UALIB-2847	150	Oh, J. Synthetic studies towards taxol. Ph.D. Thesis, The University of Alabama, 1995.	http://library.ua.edu/vwebv/holdingsInfo?bibId=837165	LVKGHCNUPUGVIE-YQZZIOFESA-N	InChI=1S/C17H21ClO2/c1-8-14(18)7-13-11-5-10(9(2)19)6-12(16(11)20)15(8)17(13)3-4-17/h5,7-8,11-13,15-16,20H,3-4,6H2,1-2H3/t8-,11+,12-,13+,15+,16-/m1/s1	Had to set double bond ring stereo to undefined in order to get a parsable SMILES.
