SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI_1.05_KnowItAll 2018	Notes
C1=2[C@]3(\C=C/[C@@](C2N(C(N1C)=S)C)(C3)c1ccc(cc1)Cl)c1ccc(cc1)Cl	UALIB-2902	129a	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	TZYIDXBACXMWHU-SZPZYZBQSA-N	InChI=1S/C22H18Cl2N2S/c1-25-18-19(26(2)20(25)27)22(15-5-9-17(24)10-6-15)12-11-21(18,13-22)14-3-7-16(23)8-4-14/h3-12H,13H2,1-2H3/t21-,22+	Needed to use undefined double bond to get SMILES
C1=2[C@]3(C(=C([C@@](C2N(C(N1C)=S)C)(C3)c1ccc(cc1)Cl)C(F)(F)F)C(F)(F)F)c1ccc(cc1)Cl	UALIB-2903	129b	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	XSHDCVKDNBZTOC-SZPZYZBQSA-N	InChI=1S/C24H16Cl2F6N2S/c1-33-18-19(34(2)20(33)35)22(13-5-9-15(26)10-6-13)11-21(18,12-3-7-14(25)8-4-12)16(23(27,28)29)17(22)24(30,31)32/h3-10H,11H2,1-2H3/t21-,22+	Needed to use undefined double bond to get SMILES
C1=2[C@]3(C(=C([C@@](C2N(C(N1C)=S)C)(C3)c1ccc(cc1)Cl)OC(=O)C)OC(=O)C)c1ccc(cc1)Cl	UALIB-2904	129c	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	IPDFVJIYJSHYBH-WMPKNSHKSA-N	InChI=1S/C26H22Cl2N2O4S/c1-14(31)33-22-23(34-15(2)32)26(17-7-11-19(28)12-8-17)13-25(22,16-5-9-18(27)10-6-16)20-21(26)30(4)24(35)29(20)3/h5-12H,13H2,1-4H3/t25-,26+	Needed to use undefined double bond to get SMILES
C1=2[C@]3(C4=C([C@@](C2N(C(N1C)=S)C)(C3)c1ccc(cc1)Cl)C(OC4=O)=O)c1ccc(cc1)Cl	UALIB-2905	131	Cojocaru, O.A. Synthesis and chemistry of 4,5-functionalized imidazoles. Ph.D. Thesis, The University of Alabama, 2011.	https://ir.ua.edu/handle/123456789/1088	VCVKWVHYBHKBSH-PSWAGMNNSA-N	InChI=1S/C24H16Cl2N2O3S/c1-27-18-19(28(2)22(27)32)24(13-5-9-15(26)10-6-13)11-23(18,12-3-7-14(25)8-4-12)16-17(24)21(30)31-20(16)29/h3-10H,11H2,1-2H3/t23-,24+	Needed to use undefined double bond to get SMILES
