SMILES_KnowItAll_2018	DATASOURCE_REGID	SUBSTANCE_NUMBER	SUBSTANCE_COMMENT	SUBSTANCE_URL	INCHIKEY_1.05_KnowItAll_2018	InChI_1.05_KnowItAll 2018
C1(C[C@]2([C@]([C@@]([C@@]1(O2)C)(CBr)[H])(C(OC)=O)[H])C)=O	UALIB-1531	9a	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	FPHIVQKTQOFRIF-MUDVNKCMSA-N	InChI=1S/C11H15BrO4/c1-10-4-7(13)11(2,16-10)6(5-12)8(10)9(14)15-3/h6,8H,4-5H2,1-3H3/t6-,8+,10-,11-/m0/s1
C1C([C@@]2([C@]([C@@]([C@]1(O2)C)(C(OC)=O)[H])(CI)[H])C)=O	UALIB-1532	9b	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	TWMXVIDOZRATMJ-MUDVNKCMSA-N	InChI=1S/C11H15IO4/c1-10-4-7(13)11(2,16-10)6(5-12)8(10)9(14)15-3/h6,8H,4-5H2,1-3H3/t6-,8+,10-,11-/m0/s1
C1C([C@@]2([C@]([C@@]([C@]1(O2)C)(C(OCC)=O)[H])(C)[H])C)=O	UALIB-1533	53	Paige, M.A. Synthesis and reaction of 3(2H)-Furanone derivatives. M.S. Thesis, The University of Alabama, 1999.	http://library.ua.edu/vwebv/holdingsInfo?bibId=1069492	RSBYKLJLNRLHRX-HSDOENETSA-N	InChI=1S/C12H18O4/c1-5-15-10(14)9-7(2)12(4)8(13)6-11(9,3)16-12/h7,9H,5-6H2,1-4H3/t7-,9+,11-,12-/m0/s1
