PUBCHEM_EXT_DATASOURCE_REGID	PUBCHEM_SUBSTANCE_SYNONYM	PUBCHEM_SUBSTANCE_COMMENT	PUBCHEM_EXT_SUBSTANCE_URL	PUBCHEM_EXT_DATASOURCE_SMILES	PUBCHEM_EXT_DATASOURCE_INCHI
UALIB-11	1-(2-Methylphenyl)naphthalene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=CC=CC=C1C2=C3C=CC=CC3=CC=C2	InChI=1S/C17H14/c1-13-7-2-4-10-15(13)17-12-6-9-14-8-3-5-11-16(14)17/h2-12H,1H3
UALIB-12	2,4-Difluoro-2',4',6'-trimethylbiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=C(C2=CC=C(F)C=C2F)C(C)=CC(C)=C1	InChI=1S/C15H14F2/c1-9-6-10(2)15(11(3)7-9)13-5-4-12(16)8-14(13)17/h4-8H,1-3H3
UALIB-13	2-Methylbiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=CC=CC=C1C2=CC=CC=C2	InChI=1S/C13H12/c1-11-7-5-6-10-13(11)12-8-3-2-4-9-12/h2-10H,1H3
UALIB-14	4-(a,a,a-Trifluoromethyl)biphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	FC(C1=CC=C(C2=CC=CC=C2)C=C1)(F)F	InChI=1S/C13H9F3/c14-13(15,16)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H
UALIB-15	4-Cyanobiphenyl	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	N#CC1=CC=C(C2=CC=CC=C2)C=C1	InChI=1S/C13H9N/c14-10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9H
UALIB-16	4-(Phenylethynyl)anisole	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	COC1=CC=C(C#CC2=CC=CC=C2)C=C1	InChI=1S/C15H12O/c1-16-15-11-9-14(10-12-15)8-7-13-5-3-2-4-6-13/h2-6,9-12H,1H3
UALIB-17	2-Methyldiphenylacetylene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=C(C#CC2=CC=CC=C2)C=CC=C1	InChI=1S/C15H12/c1-13-7-5-6-10-15(13)12-11-14-8-3-2-4-9-14/h2-10H,1H3
UALIB-18	1-Methyl-4-(2-phenylethenyl)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC1=CC=C(/C=C/C2=CC=CC=C2)C=C1	InChI=1S/C15H14/c1-13-7-9-15(10-8-13)12-11-14-5-3-2-4-6-14/h2-12H,1H3/b12-11+
UALIB-19	1-Acetyl-4-(2-phenylethenyl)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=C(C1=CC=C(/C=C/C2=CC=CC=C2)C=C1)C	InChI=1S/C16H14O/c1-13(17)16-11-9-15(10-12-16)8-7-14-5-3-2-4-6-14/h2-12H,1H3/b8-7+
UALIB-20	4-tert-butyl-4-(2-phenylethenyl)benzene	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC(C1=CC=C(/C=C/C2=CC=CC=C2)C=C1)(C)C	InChI=1S/C18H20/c1-18(2,3)17-13-11-16(12-14-17)10-9-15-7-5-4-6-8-15/h4-14H,1-3H3/b10-9+
UALIB-21	di-tert-butylbenzylphosphine oxide	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC(P(CC1=CC=CC=C1)(C(C)(C)C)=O)(C)C	InChI=1S/C15H25OP/c1-14(2,3)17(16,15(4,5)6)12-13-10-8-7-9-11-13/h7-11H,12H2,1-6H3
UALIB-22	Di-1-adamantylbenzylphosphine oxide	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=P(C12CC3CC(C2)CC(C3)C1)(C45CC6CC(C5)CC(C6)C4)CC7=CC=CC=C7	InChI=1S/C27H37OP/c28-29(18-19-4-2-1-3-5-19,26-12-20-6-21(13-26)8-22(7-20)14-26)27-15-23-9-24(16-27)11-25(10-23)17-27/h1-5,20-25H,6-18H2
UALIB-23	Dicyclohexylbenzylphosphine oxide	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	O=P(C1CCCCC1)(C2CCCCC2)CC3=CC=CC=C3	InChI=1S/C19H29OP/c20-21(18-12-6-2-7-13-18,19-14-8-3-9-15-19)16-17-10-4-1-5-11-17/h1,4-5,10-11,18-19H,2-3,6-9,12-16H2
UALIB-24	sulfonated di-tert-butylbenzylphosphine oxide	Moore, J. N. Synthesis and application of sterically flexible and water-soluble phosphine ligands in palladium catalysis. Ph.D. Dissertation, The University of Alabama, 2014.	https://ir.ua.edu/handle/123456789/2050	CC(P(CC1=CC=C(S(=O)([O-])=O)C=C1)(C(C)(C)C)=O)(C)C.[Na+]	InChI=1S/C15H25O4PS.Na/c1-14(2,3)20(16,15(4,5)6)11-12-7-9-13(10-8-12)21(17,18)19;/h7-10H,11H2,1-6H3,(H,17,18,19);/q;+1/p-1
